SL_no,Name,Place,Taluk,District,Location,Latitude,Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynastic,Style,Material,Description,SculptorArtist,Paintings,PublishedBy,Protected_by,PDFLink,ImageURL,iconUrl
1,Jain Temple,Aminabhavi,Dharawad,Dharawad,Inside the Village,15.540273,75.055823,NA,NA,East,Jain,12th Century ,AD,NA,Later Chalukyan,Dollar Iteschists,This east facing temple is completely renovated. In the garbhagraha is a Neminatha sculpture of later date. The Sabhamandapa has four free standing pillars. The ceiling is decorated with Padma. Inside the Sabhamandapa are fine loose sculptures of Jaina tirthankaras.,NA,NA,GOVT. OF KARNATAK; 1985 UTTAR A KANNADA DISTRICT GAZETTEER GOVT. PRESS BANGALORE.,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Jain Temple.pdf,images/Dharwad/Jain Temple.jpg,images/JainTemple.png
2,Kalmeshwara Temple,Aminabhavi,Dharawad,Dharawad,Inside the Village,15.540765,75.05738,NA,NA,East,Shiva,12th Century ,AD,NA,Later Chalukyan,Dollar Iteschists,The temple faces east. It comprises a garbhagraha a antarala and sabhamandapa. In the garbhayaraha is a sivalingya. The door frame of the garbhagraha is panchasakhar. The lalata bimba of the garbhagraha contains a tiny gajalakshmi sculpture. The antarala door frame is tri-sakha. The interior walls of the sabhamandapa have two devakosthas. The temple is completely renovated. On the stylistic ground the temple belongs to 12th century A. D.     ,NA,NA,GOVT. OF KARNATAK; 1985 UTTARA KANNADA DISTRICT GAZETTEER GOVT. PRESS BANGALORE.,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Kalmeshwara Temple.pdf,images/Dharwad/Kalmeshwara Temple.jpg,images/temple_.png
3,Mallikarjuna Temple,Aminabhavi,Dharawad,Dharawad,Inside the Village,15.539283,75.056683,NA,NA,East,Shiva,12th Century ,AD,NA,Later Chalukyan,Dollarite schists,This east facing temple is completely renovated. It comprises a garbhagraha antarala and sabhamandapa. In the garbhagraha is a sivalinga. There are four free standing pillars in the sabhamandapa. The ceiling has a Padma. There is an inscription in the Sabhamandapa dated 114 A. D. It registers a gift of land and two houses made by Mada Boppana in favour of the god Mallikarjana and two mathas.,NA,NA,GOVT. OF KARNATAKA; 1995 DHARWAD DISTRICT GAZETTEER GOVT. PRESS BANGALORE.,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Mallikarjuna Temple.pdf,images/Dharwad/Mallikarjuna Temple.jpg,images/temple_.png
4,European Cemetery,Dharawad,Dharawad,Dharawad,Inside the City near Mutton Market,15.463522,75.014918,NA,NA,NA,NA,NA,NA,British,NA,NA,This neglected cemetery contains the remains of British soldiers killed in an attempt to capture the Fort of Kittur defended by Rani Chennamma. The encroachment of the graveyard's site at Manikilla in Dharwad by a slaughterhouse has seriously damaged if not by now destroyed the tombs. An obelisk in a nearby park commemorating Lieutenants St. John Thackeray and John Collins Munro has been resorted but the inscriptions removed.,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/European Cemetery.pdf,images/Dharwad/European Cemetery.jpg,images/Cemetery.png
5,Kallappa Temple,Madanabhavi,Dharawad,Dharawad,Adjacent to the Village,15.588087,74.855152,NA,NA,East,Shiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Kallappa Temple.pdf,images/Dharwad/Kallappa Temple.jpg,images/temple_.png
6,Ramalingadeva Temple,Madanabhavi,Dharawad,Dharawad,Inside the Village,15.591448,74.85712,NA,NA,East,Shiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Ramalingadeva Temple.pdf,images/Dharwad/Ramalingadeva Temple.jpg,images/temple_.png
7,Siddhalinga Temple,Managundi,Dharawad,Dharawad,Adjacent to the Village Boundarey,15.381812,74.969362,NA,NA,East,Shiva,12th Century ,AD,NA,Later Chalukyan,Dollarite schists,This east facing small temple has a garbhagraha only and in ruins. The antarala and sabhamandapa are completely fallen. In the garbhagrah is a sivalinga. The garbhagraha has two doorframes on east and west. The garbhagraha has simpler tri-shakha doorframe. The garbhagraha has Ratna Shakha type of Jalavatayanas the left one is damaged. The ceiling of the garbhagraha has Padma. In fornt of the garbha graha is a seated Nandi (damaged). On the either side of the garbhagraha doorframe are sculptures of Ganesha and surya are damaged. On the stylistic ground the temple may belongs to 11th and 12th century A. D.,NA,NA,BASED ON FIELD WORK,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Siddhalinga Temple.pdf,images/Dharwad/Siddhalinga Temple.jpg,images/temple_.png
8,Kalmeshwara Temple,Managundi,Dharawad,Dharawad,Adjacent to the Village Boundarey,15.382525,74.969925,NA,NA,East,Shiva,12th Century ,AD,NA,Later Chalukyan,Dollar Iteschists,This east facing temple is in a dilapidated condition. The temple has only a garbhagraha. In the garbhagraha is a Sivalinga. Facing the garbhagraha is a seated Nandi. Outside the garbhagraha is a loose sculpture of Kesava on the pedestal of this sculpture is an inscription. Which is a reference to Lakhumanesvara and Narayanadeva.,NA,NA,Hiregoudar S. G; 1994 Dharwad Talukina Madhyabagada Purattava Ondu Samikshe (In Kannada) M. A. Dissertation Karnatak University Dharwad.,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Kalmeshwara Temple.pdf,images/Dharwad/Kalmeshwara Temple.jpg,images/temple_.png
9,Ranganatha Temple,Devara Hubli,Dharawad,Dharawad,Adjacent to the Village,15.397432,74.924882,NA,NA,East,Vishnu,12th Century ,AD,NA,Later Chalukyan,Dollar Iteschists,This renovated temple consists of a garbhagraha an antarala and a sabhamandapa. In the garbhagraha is a Ranganatha sculpture. The exterior of the temple is uninteresting.,NA,NA,GOVT. OF KARNATAK; 1985 UTTAR A KANNADA DISTRICT GAZETTEER GOVT. PRESS BANGALORE.,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Ranganatha Temple.pdf,images/Dharwad/Ranganatha Temple.jpg,images/temple_.png
10,Netagalla Basavanna Temple,Chabbi,Hubballi,Dharawad,Adjacent to the Village,15.231965,75.157142,NA,NA,South,NA,11-12th century ,AD,NA,Later Chalukyan,Dolerite Schist,The temple faces South. It has only a garbhagraha. In the garbhagraha is a Sivalinga. The garbhagraha has a simple door frame. The temple is completely renovated.,NA,NA,Balannavar R.G; 1994 The Report Of The Archeological Regional Survey Of The Hubli Taluk M. A.  Dissertation Karnataka University Dharwad.,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Netagalla Basavanna Temple.pdf,images/Dharwad/Netagalla Basavanna Temple.jpg,images/temple_.png
