Sl_No,Name,Type,Place,Taluk,District,Location,Latitude,Longitude,Orientation,Dedication,Period,Ad_Bc,Style,Material,Description,Published_By,Protected_By,PDFLink,ImageURL,iconUrl
1,Sri Somappa Temple, Temple,Kotaumachagi ,Gadag,Gadag,Adjacent to the Village,15.5361,75.7732,,Shiva,11th-12th Century. ,A. D.  ,Later Chalukyan,Granite,The temple consists of a garbhagraha an antarala a sabhamandapa and a mukhamandapa of later date. The garbhagraha contains a Sivalinga. There are four free standing pillars in the sabhamandapa. In the centre of the sabhamandapa is a seated Nandi. The ceiling has a Padma motif. The temple has a Prakara. The entrance of the Prakara is made of black marble stone. In the lalata bimba of the Prakara entrance is a tiny sculpture of Umamahesvara. Over the garbhagraha is a superstructure of vimana type. In front of the temple is a large dry tank,Govt. Of Karnataka; 1995 Dharwad Distrirct Gazetteer (In Kannada) Govt. Press Bangalore.,Department of Archaeology Museums and Heritage Mysuru,images/Gadag/Pdfs/Sri Somappa Temple.pdf,images/Gadag/Sri Somappa Temple.jpg,images/temple_.png
2,Sri Veeranarayana Temple, Temple,Gadag,Gadag,Gadag,With in the Town,15.4318,75.6276,East,Vishnu,11th-12th Century. ,A. D.  ,Later Chalukyan,Soap Stone,This east facing temple comprises a garbhagraha antarala sabhamandapa of early 12th century and a Mahamandapa of later date. In the gabhagraha is a Veeranarayana sculpture of Vijayanagara period. In the lalatabimba of the garbhagraha door frame is a tiny Gajalakshmi bimba. The antarala has Jalavatayanas. On either side of the antarala are dvarapalas almost identical. They are known as Jaya and Vijaya. In the lalatabimbha of the sabhmandapa is a tiny Gajalakshmi bimba. The spacious hall was built during the Vijayanagara period. Inside the hall are four free standing pillars decorated with bas-reliefs.  The superstructure of the temple is of Kadambanagara or Phamsana form. The temple is surrounded by a prakara wall. The temple has a main entrance on the east.,Sundara A; ?Gadag-Betageri Prachina Devalayagalu?  Kidiyur  H. R. (Ed) 1975 Namma Gadag-Betageri History And Information About Gadag-Betageri City (In Kannada).,Department of Archaeology Museums and Heritage Mysuru,images/Gadag/Pdfs/Sri Veeranarayana Temple.pdf,images/Gadag/Sri Veeranarayana Temple.jpg,images/temple_.png
3,Sri Hanuman Temple, Temple,Binkadkatti,Gadag,Gadag,With in the Village ,15.4242,75.5875,South,Hanumantha,17-18th century.,A. D.  ,Post Vijayanagar,Black Stone,This modern temple faces south. It consists of a garbhagraha and Mandapa. The garbhagraha contains a Hanuman sculpture. In front of this temple is an inscription,Patil D. L; 1998 A Study Of Sculptural Art Of Gadag Region M. A. Dissertation Karnataka University Dharwad.,Department of Archaeology Museums and Heritage Mysuru,images/Gadag/Pdfs/Sri Hanuman Temple.pdf,images/Gadag/Sri Hanuman Temple.jpg,images/temple_.png
4,Two Jaina Statues,Others,Kalasapura,Gadag,Gadag,With in the Village ,15.3837,75.6252,,Bahubali,11-12th century.,A. D.  ,Later Chalukyan,Black Stone,Two Jain statues of Bahubali and Mahaveera are installed on an open platform. The Bahubali statute is in a standing posture. The eyes of the statue are widely open the mukhamudra of the statute is pleasant and peaceful. At the left side of the Bahubali is an idol of Mahaveera in Padmasana. Mahaveera is seated on his lion throne. He is in the attitude of meditation. His both hands are in Dhayana or yoga mudra. At the neck portion is a prabhamandala. On his either side are chouri bearers.,PATIL D.L; 1998 A STUDY OF SCULPTURAL ART OF GADAG REGION M. A. DISSERTATION KARNATAKA UNIVERSITY DHARWAD,Department of Archaeology Museums and Heritage Mysuru,images/Gadag/Pdfs/Two Jaina Statues.pdf,images/Gadag/Two Jaina Statues.jpg,images/JainTemple.png
5,Sri Eshwara Temple, Temple,Kalasapura,Gadag,Gadag,With in the Village ,15.3841,75.6255,East,Shiva,12th century ,A. D.  ,Later Chalukyan,Black Stone,The temple faces east. It consists of a garbhagraha antarala and sabhamandapa. There is a Sivalinga in the garbhagraha. Inside the sabhamandapa are four free standing pillars. In the centre of the sabhamandapa is a seated Nandi. The temple has on inscription.,PATIL D.L; 1998 A STUDY OF SCULPTURAL ART OF GADAG REGION M. A. DISSERTATION KARNATAKA UNIVERSITY DHARWAD,Department of Archaeology Museums and Heritage Mysuru,images/Gadag/Pdfs/Sri Eshwara Temple.pdf,images/Gadag/Sri Eshwara Temple.jpg,images/temple_.png
6,Sri Mahabaleshwara Temple  , Temple,Nagavi,Gadag,Gadag,Adjacent to the Village,15.3574,75.6189,West,Shiva,11th-12th Century. ,A. D.  ,Later Chalukyan,Black Stone,This temple is in a dilapidated condition. It consists of a garbhagraha an antarala and a sabhamandapa. Which is open or collapsed. The sabhamandapa has four pillars. On either side of the antarala door are jalandharas. Over the garbhaharaha is a Phamsana sikhara  which is in a dilapidated condition.  ,Govt. Of Karnataka; 1995 Dharwad Distrirct Gazetteer (In Kannada) Govt. Press Bangalore.,Department of Archaeology Museums and Heritage Mysuru,images/Gadag/Pdfs/Sri Mahabaleshwara Temple.pdf,images/Gadag/Sri Mahabaleshwara Temple.jpg,images/temple_.png
7,Sri Narayana Temple, Temple,Neelagunda,Gadag,Gadag,With in the Village ,15.3073,75.4892,East,Vishnu,11th-12th Century. ,A. D.  ,Later Chalukyan,Black Stone,This temple consists of a garbhagraha an antarala and a sabhamandapa. The garbhagraha enshrined an image of Narayana on a Garuda Pitha. The garbhagraha has panchasakha doorframe. In the antarala is a chandrasila. In the sabhamandapa are four freestanding pillars. The exterior wall of the temple is decorated with small sikharas and pilasters. The superstructure over the garbhagraha is of dvavida style having sukananasa.,Govt. Of Karnataka; 1995 Dharwad Distrirct Gazetteer (In Kannada) Govt. Press Bangalore.,Department of Archaeology Museums and Heritage Mysuru,images/Gadag/Pdfs/Sri Narayana Temple.pdf,images/Gadag/Sri Narayana Temple.jpg,images/temple_.png
8,Sri Eshwara Temple (Bhogeshwara), Temple,Yalisurur ,Gadag,Gadag,Adjacent to the Village,15.275,75.6002,East,Shiva,12th  Century ,A. D.  ,Later Chalukyan,Black Stone,The temple in theory is a double shrine one component facing east and the other south with a shared hall conjoined at the east with the gudhamandapa of the third building which is a west sacing a symmetrical assmebage for a trikuta complex. The interior of the western hall has four srikara pillars at the sala nave; three of these have the plain pipal-leaf ornament of the bell part. A couple of other varieties of columns such as a well cut bhadraka Brahmakanta and Vyamisra or composite polyygonal are also met with. At the southern semi open fa‡ade are plain dwarf Citrakhanda of no note. The closed hall of the eastern shrine has also four four srikara pillars. Both the ceiling have a full blown safadala-kamala halls. The super structure of Hara-Gauri is kept in one of the hall. The super structures of the eastern and western garbhagrahas have tritala dravida vimana with Brahmacchanda sikhara. The third or south-facing shrine has a phamsana Kadambanagara superstructure with a square sikhara.  The earlier of the two inscriptions dated A. D. 1109 refers to the complex as of Bhogesvara Amritesvara and Sarasvati. Today in the eastern and northern sanctuaries are lingas under worship.,Dhaky M. A. 1996 Encyclopaedia Of Indian Temple Architecture American Institute Of Indian Studies New Delhi.,Department of Archaeology Museums and Heritage Mysuru,images/Gadag/Pdfs/Sri Eshwara Temple (Bhogeshwara).pdf,images/Gadag/Sri Eshwara Temple (Bhogeshwara).jpg,images/temple_.png
9,Sri Annadaneshwara Temple, Temple,Mulagund  ,Gadag,Gadag,With in the Village ,15.2841,75.5241,East,Shiva,1224 A.D,A. D.  ,Later Chalukyan,Dolerite Dyke ,This dvikuta temple faces east. It consists of two garbhagrahas antarala and Sabhamandapa. The two garbhagrahas contain a Sivalinga each. The doorframe of the antarala is chatuhshakha. On either side of the antarala is jalavatayanas. There are four freestanding pillars in the sabhamandapa. The adhisthana is buried in the earth. The exterior of the temple is decorated with Kudya stambha. The super structure of the temple is of dravida vimana. The pillars of the Navaranga have two inscriptions of Yadava Singhana dated 1224 A. D. and record a land grant to the God Svayambhudeva.  ,Godi S. M. 2002 Mulagund Gramadalliya Devalayagalu Mattu Murtishilpagala Addhayana (In Kannada) M. A. Dissertation Karnataka University Dharwad,Department of Archaeology Museums and Heritage Mysuru,images/Gadag/Pdfs/Sri Annadaneshwara Temple.pdf,images/Gadag/Sri Annadaneshwara Temple.jpg,images/temple_.png
10,Sri Nagareshwara Temple, Temple,Mulagund  ,Gadag,Gadag,With in the Village ,15.2838,75.5248,East,Shiva,11th century,A. D.  ,Later Chalukyan,Dolerite Schist,The temple faces east. It consists of a garbhagraha antarala and sabhamandapa. The square garbhagraha contains a Sivalinga. The ceiling of the antarala has a Padma motif. On either side of the antarala are jalavatayanas. There are four freestanding pillars in the sabhamandapa. The lalatabima contains a tiny Gajalakshmi motif. The superstructure of the temple is of Kadambanagara or Phamsana form. There is inscription dated 1062 A. D. It mentions that the temple was got built by Ballava setti Dharma setti and others for the same temple.,Turadagi R.G; 1996 Mulagunda Ondu Sanskritika Adhyayana (In Kannada) M.Phil Dissertation Karnataka University Dharwad.      ,Department of Archaeology Museums and Heritage Mysuru,images/Gadag/Pdfs/Sri Nagareshwara Temple.pdf,images/Gadag/Sri Nagareshwara Temple.jpg,images/temple_.png
