SL_no,Name,Place,Taluk,District,Location,Latitude,Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynasty,Style,Material,Description,sub_Monuments,"Paintings
",Inscriptions,SculptorArtist,Published_By,Importance,Protected_by,PDFLink,ImageURL,iconUrl
1,Channakeshava Temple ,Hullekere,Arsikere,Hassan,6 miles to the south of Haranahalli road  west of Hullekere,13.191033,76.145413,1,B,NA,Keshava,1163 A.D,NA,Hoysala Narasimha I,Chalukyan,Nil,"The Chennakeshava temple has a sanctum over which is a tower  an open sukhanasi  a navaranga  a porch and cloistered verandas. The temple  built by Buchiraja  has a square porch and a garbhagriha and is built on a floating foundation. The walls  with turreted pilasters and canopies are enclosed in scroll toranas. They are of the stepped pyramid design. The Vishnu images on the walls are 15"" high. The soap-stone tower rises in 3 tiers of ornamented turrets. The sikara is surmounted by a stone Kalasa (finial) around. The navaranga of 9 ankanas has 4 bell shaped pillars. The garbhagriha contains a 6' high image of lord Keshava standing on a pedestal with Garuda carved in ttont. The image is flanked by Sridevi and Bhudevi. The ten incarnations of Vishnu are depicted on the prabhavali.",Nil,Nil,Stone inscription record the date 1163 A.D,Nil,"Mar 1911  page 2 & 3
Mar 1933 pages 67-71 ",Archaeological ,State Department of Archaeology and Museums  Mysore,images/Hassan/Pdfs/Channakeshava Temple.pdf,images/Hassan/Channakeshava Temple.jpg,images/temple_.png
2,Chatteshwara Temple,Chatchathalli,Belur,Hassan,30 miles north east of Halebid,13.23138,76.366088,Non-Living temple,A,West,Shiva as Chatteshwara,1200 A.D,NA,Hoysala Narasimha I,Hoysala / Vesara,Nil,The Chatteshwara temple contains 3 squarish cells with a figure of Vishnu in the east shrine  Surya in the south shrine and the Linga in the north shrine. Each cell comprises a sukhanasi with screens on either side. The temple  constructed by Chattadanayaka  a Hoysala officer  is built on a floating foundation over which rises the basement with 5 cornices. The eaves  like the outer walls  are all plain with small square pilasters set in at the corners The parapet is composed of a series of ornamented turrets on the dentil projections and sikharas. The porch is entered by a flight of steps flanked by turreted niches. The roofs  supported by 2 soapstone pillars  are bell-shaped. The navaranga doorway is flanked by door guardians and Gajalakshmi on the lintel. The navaranga with 9 ankanas has a decorative srichakra in high relief. In the garbhagriha of the east cell is the sculpture of Surya installed as one of the principle deities. Similarly the sanctum temple houses a lings ,Nil,Nil,On slab east of Porch and on beam inside navaranga,Nil,"Mar 1933  pages 90-91
Mar 1911  pages 10 & 11",Archaeological,State Department of Archaeology and Museums  Mysore,images/Hassan/Pdfs/Chatteshwara Temple.pdf,images/Hassan/Chatteshwara Temple.jpg,images/temple_.png
3,The Chennakeshvara Temple,Harnahalli,Arasikere,Hassan,Hassan   180 kms from Bangalore,13.246911,76.223783,Living Temple,A,East,Chennakeshava,1234 A.D,NA,Hoysala,Hoysala / Vesara,Indrated potstone,The Chennakeshava temple also known as Lakshminarayana Temple is an excellent specimen of Hoysala architecture. This well preserved structure built by the three brothers  Pedda Heggade  Sovanna And Kesanna  is a triple-shrined structure.,Nil,Nil,Nil,Nil,Rao  S.K. Ramachandra  “Art and Architecture of Indian Temples”  Vol III Page 228,Religious ,State Department of Archaeology and Museums  Mysore,images/Hassan/Pdfs/The Chennakeshvara Temple.pdf,images/Hassan/The Chennakeshvara Temple.jpg,images/temple_.png
4,Govindeshwara Temple,Koravangala,Hassan,Hassan,North of Nageshwara Temple,13.053965,76.176958,Non- Living temple,A,East,Ishwara,1160 A.D,NA,Hoysala Narasimha I ,Hoysala / Vesara,Plinth,The Govindeswara temple  erected by Govindaraja  minister of Hoysala Narasimha I  consists of a garbhagriha  a sukhanasi and a navaranga of 9 squares or ankanas. The entrance to the navaranga is through a porch with entrances from north and south. The Govindeshwara shrine has a ruined dome with octagonal ribs. The ornamented outer walls contain designed turrets borne on single or double pilasters. The porch  built in 1180 (inscription Hassan 74) has an ornate ceiling with Mahishamardini surrounded byashtadikpalas.,The Surya shrine situated to the east of the Govindeswara shrine  has anornate sukhanasi doorway with perforated screens on the jambs.,Nil,ECV Hassan 72 Govindaraja erected temple,Nil,"Mar 1920  pages 5 & 6
Mar 1933 pages 51 & 52",Archaeological,State Department of Archaeology and Museums  Mysore,images/Hassan/Pdfs/Govindeshwara Temple.pdf,images/Hassan/Govindeshwara Temple.jpg,images/temple_.png
5,Inscriptions,Halebid,Belur,Hassan,27 kms north west of Hassan,13.220573,75.992108,13,C,NA,Nil,12-13th Century A.D,NA,Hoysala,Hoysala / Vesara,Nil,The Hoysala inscriptions written in either old-Kannada or Sanskrit are engraved on stone and are located near the temple  they are labels on the pedestals of sculpted images. The most famous Hoysala inscriptions recording details about the artists are the labels found in the Chennakeshava temple  Belur  during Vishnuvardhana's reign. They vary in length  from one word to a complex sentence. However  later ones mention only the first letter or an abbreviation of the name as seen in Kedareshvara temple at Halebid  etc. Dedicatory inscriptions on large freestanding stones set up to the south east of many temples  contain valuable information about the chief architects and sculptors. Unlike dedicatory inscriptions  the label inscriptions lack precise date pose a difficulty in establishing chronology. The craftsman's sense of pride in his skill and his desire to excel as a mark of devotion for the deity is common to all the inscriptions.,Nil,Nil,Nil,Nil,Collyer  Kelleson: “ The Hoysala Artists: Their identity and styles” Mysore: Directorate of Archaeology and Museums  1990 pages 49-52 ,Archaeological,State Department of Archaeology and Museums  Mysore,images/Hassan/Pdfs/Inscriptions.pdf,images/Hassan/Inscriptions.jpg,images/inscriptions.png
6,Kesava Temple,Honnavara,H.Narasipur,Hassan,Temple to the south west of Honnavara,13.121933,76.176317,Living Temple,A,East,Kesava,1149 A.D,NA,Vishnuvardhana,Hoysala/Vesara,Nil,The Kesava temple consists of a garbhagriha  an open sukhanasi  a navaranga and a porch  approached by a flight of steps. The outer walls are raised on a basement of 6 cornices with dentil mouldings The walls with right-angled pilasters have carved turret-bearing shallow niches  which enshrine gods. The navaranga doorway is flanked by two door guardians. The bell-shaped central pillars are lathe-turned ones. The central ceiling consists of a well-worked octagon and square  divided into 9 panels The garbhagriha door jambs of the sanctum have vertical bands of scroll and Medallion ornamentation. The 6' high image of lord Kesava  on a pedestal with garuda stands in samabhanga. The ten incarnations of Vishnu are carved on the torana.,Nil,Nil,NO.65- temple’s consecration by Sankaradandanatha ,Nil,"Mar 1926  pages 4
Mar 1942  pages 30-35",Archaeological ,State Department of Archaeology and Museums  Mysore,images/Hassan/Pdfs/Kesava Temple.pdf,images/Hassan/Kesava Temple.jpg,images/temple_.png
7,Kirthinarayana Temple,Heragu,Hassan,Hassan,Few yards north of Ishwara Temple,13.055783,76.266855,Non- Living Temple,A,East,Vishnu,1217 A.D,NA,Hoysala,Hoysala / Vesara,Stone,"Of the two temples in Heragu  Kirtinarayana temple also called Jaitanarayana is the most important. The temple consists of a garbhagriha  sukhanasi  navaranga and the porch. The image  about 7'  6"" high stands on a pedestal with Garuda carved on it. It holds a lotus  and a mace along with a Chakra and Shankha in the two fore arms. The Lord is flanked by Sridevi and Bhudevi. The ten incarnations of Vishnu is carved on the Prabhavali. The processional image holds a Shankha and Chakra along with a mace in the forearm. This Hoysala temple with plain straight outer walls and a step-like tower of uncarved blocks has a fine Kalasa (finial) In front of the tower above the Sukhanasi ceiling is an ornate figure of Garuda. The well-carved Navaranga ceilings contain the figures of Nammalvar  Bhashyakara and Ganesha. The lintel in the Garbhagudi bears the figure of Narayana while the Sukhanasi lintel has Kaliyamardhana  and the Navaranga lintel bears Venugopala",Nil,Nil,H.61 states  temple is also called Jaita Narayana,Nil,"Mar 1924 pages 5
Mar 1942 pages 27",Archaeological ,State Department of Archaeology and Museums  Mysore,images/Hassan/Pdfs/Kirthinarayana Temple.pdf,images/Hassan/Kirthinarayana Temple.jpg,images/temple_.png
8,Lakshmaneshwara Temple,Mallarajupatna ,Arkalgud ,Hassana,Temple  on the bank of river Cauvery,12.606254,76.087293,Non Living Temple,C,East,Shiva ,13th century A.D.,NA,Hoysala ,Hoysala / Dravida ,Granite/ cist ,The temple is built on the Bank of River Kaveri.  The temple is of granite  brick work. The temple consists of girbhagriha enshring a linga. Sukhanasi and Navaranga  a small porch is also built. The pillars of the temple and porch are cylindrical and lathe turned capitals are also seen. The outer walls have the carved panels of sculptures viz.  Venugopala  Ramayana themes; Dancing Ganapati etc. The temple is in much dilapidated condition.   ,Near by the Lakshmaneshwara temple is Anjaneya temple  built of by brick and mortar. The temple is recent times. The small image of Hanuman in relief is found in the shrine. ,Nil ,Nil ,Nil ,MAR 1936 P. 11-12   ,Archaeological ,State Department of Archaeology and Museums  Mysore,images/Hassan/Pdfs/Lakshmaneshwara Temple.pdf,images/Hassan/Lakshmaneshwara Temple.jpg,images/temple_.png
9,Lakshminarasimha Temple,Javagal,Arasikere,Hassan,A.Javagal  9 miles from Banavar Station,12.606254,76.087293,Non-Living Temple,A,East,Lakshminarasimha,Circa 1250-1260 A.D,NA,Vishnuvardhana,Chalukyan / Hoysala,Soap Stone,The Lakshminarasimha temple is a triple-shrined temple. It houses the sculpture of Kesava in the main shrine  Gopala to the right and  Lakshminarasimha to the left shrines. Although placed in a subsidiary shrine  Lakshminarasimha is regarded as the main deity This Vishnu temple comprises figures of Ganesha and Mahishamardini in the niches by the side of the main shrine. The mukhamantapa  the granite mahadvara and the Lakshmi temple constitute the additions of the main temple. The navaranga doorway bears on its lintel  dvarapalas and Kaliyamardana The south cell contains a 6' high image of Venugopala  while the north cell has the image of Lakshminarasimha on a Garuda pedestal  with garuda carved in front. The sanctum has a lotus dome carved out of a single slab. The image of Vishnu as Sridhara stands on a pedastal with garuda carved in front. The mahadvara about 18'high abd 7' wide  made up of granite slabs is typical of Vijaynagar period construction.,The Lakshmi Shrine is to the south of the Lakshminarasimha temple. The Navaranga contains 4 bell-shaped Hoysala pillars. A small mantapa bearing a 1515-dated inscription in its ceiling is situated to the northwest of the main temple.,Nil,Inscription dated 1515 A.D is in Mantapa Ceiling,Mallitamma,"Mar 1933 pages 71-79
Mar 1911 pages 5 & 6",Archaeological ,State Department of Archaeology and Museums  Mysore,images/Hassan/Pdfs/Lakshminarasimha Temple.pdf,images/Hassan/Lakshminarasimha Temple.jpg,images/temple_.png
10,Lakshminarayana Temple,Anathi,Channarayapatna,Hassan,Anathi near northern boundary of Channarayapatna,13.139613,76.433554,Living temple,A,East,Lakshminarayana,Circa 1530 A.D,NA,Tirumala Nayaka,Hoysala / Vesara,Nil,The Lakshminarayana temple is a simple structure with a garbhagriha  sukhanasi  navaranga  mantapa and an enclosed jagali on either side of the central doorway. The ceilings over the garbhagriha and sukhanasi  like the central ceiling of the navaranga  are well-carved. Of these  the ceiling in the sukhanasi divided into 9 panels  is considered to be the best. The central panel has an image of Lakshminarayana  while the other panels bear floral motif. There are 2 dwarapalas guarding the entrance of the sukhanasi An image of garuda decorates the lintel of the entrance to the sanctum. Above the lintel is a Narasimha image carved in relief  flanked by garuda and Prahlada.,Nil,Nil,1139  A. D. Records grant by Viraganga Hoysala Deva,Nil,Mar 1927   pages 2,Nil,State Department of Archaeology and Museums  Mysore,images/Hassan/Pdfs/Lakshminarayana Temple.pdf,images/Hassan/Lakshminarayana Temple.jpg,images/temple_.png
