SL_No,Name,Latitude,Longitude,ImageURL,iconUrl
1,Ugra Narasimha,15.32911265,76.45891707,IDH/images/Ugra_Narasimha.JPG,IDH/icons/UgraNarasimha_.png
2,Badavi Linga,15.32933162,76.4590696,IDH/images/Badavi Linga.JPG,IDH/icons/linga.png
3,Hazara Rama Temple,15.31794105,76.46877524,IDH/images/HazaraRamaTemple.JPG,IDH/icons/temple.png
4,Varaha Temple,15.33624904,76.4696963,IDH/images/VarahaTemple.JPG,IDH/icons/temple.png
5,Sasivekalu_Ganesha,15.33176774,76.45991799,IDH/images/Sasivekalu_Ganesha.JPG,IDH/icons/Ganesha.png
6,Kadalekalu_Ganesh,15.33286483,76.4612265,IDH/images/Kadalekalu_Ganesh.jpg,IDH/icons/Ganesha.png
7,Stone_Doors,15.31650939,76.47121475,IDH/images/Stone_Doors.jpgt.JPG,IDH/icons/Doors.png
8,Large Public Bath,15.314337,76.470323,IDH/images/LargePublicBath.JPG,IDH/icons/Bath.png
9,Kalyani Royal Enclosur,15.31495,76.470178,IDH/images/Kalyani_Royal_Enclosur.JPG,IDH/icons/Kalyani.png
10,Mahanavami Dibba,15.31610164,76.47086416,IDH/images/Mahanavami_Dibba.JPG,IDH/icons/Dibba.png
11,Monolithic Bull,15.33392427,76.46681975,IDH/images/Monolithic_Bull.jpg,IDH/icons/Bull.png
12,Kings_Balance,15.34090985,76.47414889,IDH/images/Kings_Balance.JPG,IDH/icons/Kings_Balance.png
13,Octagonal Bath,15.31560336,76.47560293,IDH/images/Octagonal_Bath.JPG,IDH/icons/Bath.png
14,Queens Basement,15.32082922,76.47085063,IDH/images/QueensBasement.JPG,IDH/icons/Basement_ofKingsPalace.png
15,Lotus Mahal,15.32034311,76.47133671,IDH/images/LotusMahal.JPG,IDH/icons/LotusMahal.png
16,Elephant Stable,15.32115489,76.47275487,IDH/images/Elephant_Stable.JPG,IDH/icons/Elephant_Stable.png
17,Queens Bath,15.31355844,76.47254808,IDH/images/Queens_Bath.JPG,IDH/icons/Bath.png
18,Watch Tower in Zanana enclosure,15.31990667,76.47194738,IDH/images/WatchTowerinZananaenclosure.JPG,IDH/icons/WatchTower.png
19,Bhimas Gateway,15.32010592,6.461329347,IDH/images/BhimasGateway.JPG,IDH/icons/Gateway.png
20,Doomed Gateway,15.3095033,76.48550528,IDH/images/DoomedGateway.JPG,IDH/icons/Gateway.png
21,Kalyani Near Doomed Gate,15.30627272,76.48562732,IDH/images/KalyaniNearDoomedGate.JPG,IDH/icons/Gateway.png
22,Gaurd's House,15.32163928,76.47225578,IDH/images/Gaurds_House.JPG,IDH/icons/Gaurds_House.png
23,Octagonal Water Pavilion,15.31435976,76.46794083,IDH/images/Octagonal_Water_Pavilion.JPG,IDH/icons/WaterPavilion.png
24,Bhojana Shala,15.31411221,76.4684666,IDH/images/Bhojana_Shala.JPG,IDH/icons/DiningHall.png
25,Shiva Temple Near Nallapura,15.30264015,76.49442184,IDH/images/ShivaTemple_NearNallapura.JPG,IDH/icons/temple.png
26,Band Tower in Dannanayak's enclosure,15.31698472,76.46705389,IDH/images/BandTowerinDannanayaksenclosure.JPG,IDH/icons/BandTower.png
27,Palace Basement near Bandtower,15.31714247,76.46651147,IDH/images/PalaceBasementnearBandtower.JPG,IDH/icons/BandTower.png
28,Mohammeden Mosque,15.31711107,76.46727232,IDH/images/MohammedenMosque.JPG,IDH/icons/mosque.png
29,Basement of Kings Palace,15.31863919,76.46749456,IDH/images/Basement_ofKingsPalace.JPG,IDH/icons/Basement_ofKingsPalace.png
30,Mint area,15.31888517,76.46800642,IDH/images/Mint_area.JPG,IDH/icons/MintArea.png
31,Ganagitti Sri Jaina Basadi,15.31352147,76.47816283,IDH/images/GanagittiSriJaina Basadi.JPG,IDH/icons/JainTemple.png
