SL_no,Name,Place,Taluk,District,Location,Latitude,Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynasty,Style,Material,Description,Details_of_Inscriptions,SculptorArtist,Published_By,Importance,Protected_by,PDFLink,ImageURL,iconUrl
1,MOSQUE AND TOMB OF AFZAL KHAN,Afzalpur,Kalaburagi,Kalaburagi,NA,17.1947,76.3556,NA,NA,NA,NA,Middle of the 17th century,Afzal Khan’s death –1659) B.C.,NA,Adil Shahi,Stone Brick and Mortar,The plan of the monument is much like that of the Ibramin Roza at Bijapur. The tomb and mosque stand on a plinth facing each other with a reservoir between them. These two buildings are said to have been built by the Bijapur minister Afzal Khan.The mosque is square on plan has two thin minarets in the front. Stone chains hanging from the chajja are seen here. The mosque is noted for the carvings of the pedestals and its stucco decoration which is beginning to show that Hindu artisans were at work and had a freer hand in the ornament.,NA,NA,Indian Islamic Architecture – The Deccan (1347-1686) Elizabeth Schotten Merklinger England 1981. p. 127.,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/MOSQUE AND TOMB OF AFZAL KHAN.pdf,images/Kalaburgi/MOSQUE AND TOMB OF AFZAL KHAN.jpg,images/tomb.png
2,BAHMANI TOMBS,Holkonda,Kalaburagi,Kalaburagi,NA,17.5303,76.9728,NA,NA,NA,NA,14th –15th century A.D,NA,NA,Bahmani,Stone brick and mortar,The tomb of the Shaik Muhammad Mashyaka is the earliest structure in the Dargah of the Shaikh. The heavy sloping walls the simple arch shape of the merlons the fluted domed corner finials and guldastas are all found here. The receding plans of the entrance portal not found in the earliest building in Gulbarga are seen here.The tomb of Allu one of the two tombs outside the enclosure wall is said to be the only tomb in the Deccan built entirely out of brick. A basketwork-motif on the band below the cresting is interesting.The tomb of Mallu is the second one found outside the enclosure wall of the Dargah. The dome cresting at the point of springing on the exterior is lotus-petal-shaped. The remains of the guldastas may also be seen here.The tomb of Jalal Khan: The guldastas on this structure are said to be quite developed; probably more so than they are found on the two tombs of Allu and Mallu.The tomb of Azam Khan: This tomb has a double-storeyed façade. The merlons are in a trefoil shape. The entrance has some interesting stone pillars and bands of stone carving.The tomb of Khayar Khan also has a double-storeyed façade and trefoil-shaped merlons. There are guldastas of a more complicated design and shape. Stucco work is observed on the external walls.The tomb of Dilawar Khan is a tall domed octagonal structure with narrow pointed recessed arches set in rectangular panels on each side. The panels and recessed arches have black stone margins. The monument seems to have a purely Persian design an octagonal tomb tower such as was known in Iran.,NA,NA,Indian Islamic Architecture – The Deccan (1347-1686) England Elizabeth Schotten Merklinger 1981. p. 109.,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/BAHMANI TOMBS.pdf,images/Kalaburgi/BAHMANI TOMBS.jpg,images/tomb.png
3,Chand Bibi’s Tomb,Dargah Sheriff,Kalaburagi,Kalaburagi,NA,17.3436,76.851,NA,NA,NA,NA,16th Century A.D,NA,NA,Nizamshahi,Stone brick and mortar,This tomb which was in a bad state of preservation was later properly conserved. The deep crevices on the surface of the dome have been filled up with cement and concrete toned to match with the original colour of the masonry. The turrets of the parapet have been restored. The floor under the dome was cleared of debris leading to the discovery of old stone flooring in a well-preserved condition. No grave could be traced.,NA,NA,Annual Report of the ArchaeologicalDepartment of His Exalted Highness The Nizam’s Dominions 1934-35 (1938) Calcutta. p. 6.,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Chand Bibi’s Tomb.pdf,images/Kalaburgi/Chand Bibi’s Tomb.jpg,images/tomb.png
4,Chor Gumbaj,Kalaburagi,Kalaburagi,Kalaburagi,NA,17.3478,76.8112,NA,NA,NA,NA,1420 A.D,NA,NA,NA,NA,Local tradition attributes this name to the quondam occupation of the monument by robbers. The building has a set of rooms arranged in a labyrinth 'Bhul bhulayyan' so common in Indian Muslim architecture. The name Chor Gumbad perhaps refers to this arrangement rather than to its association with thieves. The monument is of considerable dimensions.The interior which consists of a hall measures 22.4 m x 22 m ft. The dome which is hemispherical rises to a height of about 100 ft from the ground. There are turrets at the four corners of the building surmounted by small kiosks. The Gumbad is a picturesque feature in the landscape of Gulbarga. Its large dome is visible from a distance of several kilometres. The building is structurally sound like the Gol Gumbad at Bijapur and also has the echoing effect at least seven times.,NA,NA,Annual Report of the ArchaeologicalDepartment of His Exalted Highness The Nizam’s Dominions 1915 –16 A.D (1917) Calcutta. pp. 3-4. b) Gulbarga District Gazetteer (Kannada) Bangalore 1997. p. 712.,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Chor Gumbaj.pdf,images/Kalaburgi/Chor Gumbaj.jpg,images/tomb.png
5,Mosque and Well,Hirapur,Kalaburagi,Kalaburagi,NA,17.3291,76.8046,NA,NA,NA,NA,A.D,NA,NA,Adil Shahi,Stone brick and mortar,The Hirapur mosque and well were duly repaired. The minarets of the mosque had cracked in many places. Necessary repairs were done to the decaying parts. The Sarai attached to the mosque was also restored. Painting was done to the well; and the crevices that had appeared in its structure were filled in.,NA,NA,Department of His Exalted Highness The Nizam’s Dominions 1934–35 (1938) Calcutta,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Mosque and Well.pdf,images/Kalaburgi/Mosque and Well.jpg,images/mosque.png
6,Dargah Mosque Sarai of H-Kamal Mujarrad,Kalaburagi,Kalaburagi,Kalaburagi,NA,17.3408,76.8549,NA,NA,NA,NA,A.D,NA,NA,NA,Stone brick and mortar,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Dargah Mosque Sarai of H-Kamal Mujarrad.pdf,images/Kalaburgi/Dargah Mosque Sarai of H-Kamal Mujarrad.jpg,images/mosque.png
7,Langar-ki-masjid,Kalaburagi,Kalaburagi,Kalaburagi,NA,17.3645,76.8321,NA,NA,NA,NA,NA,NA,NA,NA,Stone brick and mortar,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Langar-ki-masjid.pdf,images/Kalaburgi/Langar-ki-masjid.jpg,images/mosque.png
8,Tomb of Mohammed Shah I,Bahamanipur,Kalaburagi,Kalaburagi,NA,17.3458,76.8222,NA,NA,NA,NA,(1358-1375) A.D,NA,NA,Bahmani,Stone brick and mortar,The tomb of Mohammed Shah I is a replica of his father’s tomb except for open mosque attached to the west of the farmer's tomb. At the apex of the dome the traces of a ruined finial of the Tughluq style may be seen which is not to be found in the later tombs of the Deccan. The interior of the building is square in plan measuring of about 8 m each way. The walls which are extremely thick – of about 2.4 m near the base are built of irregular courses of masonry.,NA,NA,NA,a) Report of the Archaeological Department of His Exalted Highness The Nizam’s Dominions 1225 –26 Calcutta 1928. p. 2.b) Dist. Gazetteer of Gulbarga Govt. of Karnataka (Kannada). p. 711.,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Tomb of Mohammed Shah I.pdf,images/Kalaburgi/Tomb of Mohammed Shah I.jpg,images/tomb.png
9,Dargah of Hazrat Shaikh Sirajuddin Junaidi,Kalaburagi,Kalaburagi,Kalaburagi,NA,17.3515,76.8234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Dargah of Hazrat Shaikh Sirajuddin Junaidi.pdf,images/Kalaburgi/Dargah of Hazrat Shaikh Sirajuddin Junaidi.jpg,images/mosque.png
10,Dargah of Hazrat Khwaja Bande Nawaz Syed Mohammed Gesu Darz,Kalaburagi,Kalaburagi,Kalaburagi,NA,17.3439,76.8509,NA,NA,NA,NA,1424-31 A.D,NA,NA,Bahmani,Stone brick and mortar,The tomb of Khwaja Bande Nawaz is of great dimensions. It is venerated by both Muslims and Hindus. The arches of the Dargah are considered a speciality of the Bahamani architecture. It is considered to be a perfect specimen of the Perso-Deccani architecture. The excellent paintings on the walls and domes are in the Turkish and Iranian styles. Some of the old relics of the saint are still preserved in the tomb along with some specimen art pieces of those days. In the premises of the Dargah there is also a library containing about 10000 books in Urdu Persian and Arabic on history philosophy religion etc. Near this tomb a mosque a sarai and a college were built by Emperor Aurangazeb in 1687 A.D,NA,NA,NA,a) Gazetteer of India – Mysore State – Gulbarga District Bangalore 1966. p. 462.b) Report of the Archaeological Department of His Exalted Highness The Nizam’s Dominions 1937 –40 (1942) Calcutta. pp. 2-3.,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Dargah of Hazrat Khwaja Bande Nawaz Syed Mohammed Gesu Darz.pdf,images/Kalaburgi/Dargah of Hazrat Khwaja Bande Nawaz Syed Mohammed Gesu Darz.jpg,images/mosque.png
