SL_no,Name,Place,Taluk,District,Location,Latitude,Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynasty,Style,Material,Description,Sub_Monuments,"Paintings
",Inscriptions,SculptorArtist,Published_By,Importance,Protected_by,PDFLink,ImageURL,iconUrl
1,Anantapadmanabha Temple ,Budanur,Mandya,Mandya,South West end of the village ,12.549752,76.947019,Living temple,A,East,Vishnu ,13th century,AD,Hoysala,Hoysala/ Dravida ,Soap Stone (Cist) ,The Anantapadmanabha Temple is an ekakuta dravida vimana temple built on Jagati. It has rectangular girbhagriha  sukhanasi and Navaranga and mukhamantapa. The deity is standing in Samabhangana on a pedestal. It is a fine example of Hoysala art The pillars in the Navaranga are latheturned ones with capitals. On the outer walls  ornamentation is restricted only to the architectural features. ,Near by the Ananthapadmanabha temple  is Kashivishweshwara temple  which is in very bad dilapidated condition. It is one of the very good example of a vesara style shikhara temple if reconstructed.,Nil ,1276 AD  of Narasimha III period  records certain grants to the temple ,Nil,MAR 1910 para 23  MAR 1934 page 49-50 ,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mandya/Pdfs/Anantapadmanabha Temple.pdf,images/Mandya/Anantapadmanabha Temple.jpg,images/temple_.png
2,Basaweshwara Temple ,Tolasi,Krishnarajpet,Mandya ,Temple  outskirts of the village ,12.801982,76.435691,Living temple,B,East,Vishnu,12th century,AD,Hoysala,Hoysala – Dravida ,Cist (Soap stone),Basaweshwara temple is trikuta temple. Considerably a small temple. Situating within the village. It consists of tri garbhagrihas  sukhanasi and navaranga. It has also a projected mantapa. The temple is non-ornate type. Its walls are plain but decorated with pilasters and niches. The shikars are of Dravida and Kadamba nagara type. ,Nil ,Nil ,Nil ,Nil ,Mar 1915 page 23 ,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mandya/Pdfs/Basaweshwara Temple.pdf,images/Mandya/Basaweshwara Temple.jpg,images/temple_.png
3,Bateri (2Nos.) (Bastions) ,Srirangapatna,Srirangapatna,Mandya ,South East corner of the town ,12.420069,76.68684,Non living,C,Nil,Defence,18th Century,AD,Wodeyars of Mysore,Nil,Stone,The bastions or Bateries at Srirangapatna are mainly in square and rectangular shape built at the corners of the fort to suit the diffence planning. Built with heavy blocks of the stones  ramped with mud and pebble or rubble stones. The projections walls all around the top of the bastions are built. The space above used to have long range cannons moveable in angle. At Srirangapatna there are Sultan bateri and Kalgowdana bateri. In the absence of the epigraphs however no proper identification of the names are possible. ,Nil ,Nil ,Nil ,Nil ,MAR 1935 p. 55.  A History of Srirangapatna  L.N. Swamy  Delhi 1996 p. 30-32,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mandya/Pdfs/Bateri (2Nos.) (Bastions).pdf,images/Mandya/Bateri (2Nos.) (Bastions).jpg,images/temple_.png
4,Brahmeshwara Temple ,Kikkeri ,Krishnarajpet,Mandya ,Temple North East of village near tank,12.763642,76.42914,Living temple,B,East,Shiva,12th Century ,AD,Hoysala,Hoysala – Dravida ,Cist (Soap stone),Brahmeshwara temple is an ornate ekakuta temple. The temple has Girbhagriha  Sukanasi and wonderful half open Navaranga to which Nandi mantapa also attached in front of the main entrance. The temple has regular projections  and vimana is pyramidical with regular vimana and talas. The sukhanasi is projected from the main vimana and has a small opening in the fornt  like a shrine. There are sculptures on the outer wall. In the Navaranga magnificent madanika sculptures are found. The Nandi is also finely carved. The Brahmeshwara temple is built in a prakara of the same period which has an entrance mantapa. ,Janardhana temple  situated little away from Brahmeshwara temple. It is in dilapidated conditions today  it is an ekatuta shrine with Dravida vimana. The temple has sculptures on outer walls. This temple is also of Hoysala period possibly built at the same period.,Nil ,1171 A.D. Records the grant by Hoysala Narasimha. Temple was built by Bammavve Nayakiti wife of Brahmayya a chief. ,Rekhavilas Harimalla ,MAR 1915 p. 21-22 Gerard Foekema  Hoysala Architecture p. 174-76  Delhi 1994,Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mandya/Pdfs/Brahmeshwara Temple.pdf,images/Mandya/Brahmeshwara Temple.jpg,images/temple_.png
5,Dungeon ,Srirangapatna ,Srirangapatna ,Mandya ,Near water gate and near Jumma Masjid ,12.424828,76.690871,Non living,Cl,South,Defence,18th Century ,AD,Tippu ,Nil,Stone – brick- lime plaster ,The Dungeons are rectangular shallow roofed structures with vaulted ceiling. They were meant to be the jails  where prisoners were kept. Bastions with batteries are built above these also seemed to have had served as armory during war period. They have brick and lime ceiling and stonewalls. ,Nil ,Nil ,Nil ,Nil ,MAR 1935  p. 57,Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mandya/Pdfs/Dungeon.pdf,images/Mandya/Dungeon.jpg,images/temple_.png
6,Gun Powder Stores,Srirangapatna ,Srirangapatna ,Mandya ,Different Places in the town,12.424069,76.689304,Non living,C,Nil,Defence,18th Century ,AD,Wodeyars of Mysore / Hyder and Tippu ,Nil,Brick  Stone and mortar ,There are (eight) Gunpowder stores at Srirangapatna. Situated in the different places nearby the fort to enable to easy supply of the ammunition during the war. The important ones are near mosque in the town  and two near by railway station. These structures are shallow roofed rectangular in plan  with thick walls and sloping roofs. A small entrance is provided. There will be sufficient space inside to store the arms and ammunitions  from the distance; these storages appear like well furnished sloped roof houses. They are near 1. old mosque 2. Elephant gate 3. Somalinga gate 4-5. Railway stations 6. Near Gangadhareshwara temple and 7. Tipus mosque and 8. T. Inman’s Dungeon.,Nil ,Nil ,Nil ,Nil ,MAR 1935 p. 55 A history of Srirangapatna L.N. Swamy  Delhi 1996 p. 30-32,Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mandya/Pdfs/Gun Powder Stores.pdf,images/Mandya/Gun Powder Stores.jpg,images/temple_.png
7,Hanging Bridge,Srirangapatna ,Srirangapatna ,Mandya ,100 mtrs south of Ranganatha temple ,12.4232037,76.678954,Non living,C,E-W ,Nil,18th Century ,AD,Tippu,Nil,Stone  brick  lime mortar ,Today the bridge is completely destroyed  only sidewalls of the hanging bridge are intact. It is said that  there was swinging arch on this spot. It was constructed by Tipu sultan and designed by a French Engineer De Haviland. This was a sample bridge  which later planned to build a similar one over Cauvery river. Till 1936.it was intact. When people stand on the keystone it used to jerk 2 – 3 inches. Suddenly on 2nd July 1936 it collapsed. However it was an example of the technology of that day. ,A small gunpowder house near by the arch on eastern side of the fort. Gunpowder houses were built all around the fort.,Nil ,Nil ,Nil ,MAR 1935 p. 58 ,Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mandya/Pdfs/Hanging Bridge.pdf,images/Mandya/Hanging Bridge.jpg,images/Bridge.png
8,Kalyani Bhuvaneshwarimantapa and the ancillary shrines  ,Melkote ,Pandavapura ,Mandya ,Pond – Near Foot hill little away from bus stand ,12.664977,76.649478,Living Temple ,A,East West North South ,Religious ,17th Century ,AD,Mysore Wodeyar ,Post Vijayanagar ,Stone ,Kalyani large stepped pond is square in plan. It has pillared open mantapa all around and entrances from all four sides. Built in granite stone has natural spring water. The procession deity of Narayana along with his consorts are taken on water procession called Teppostava  in this pond ever year. Bhuvaneshwari Mantapa is situated on North eastern corner of the pond. It is an open mantapa built by the wodeyars of Mysore. Built in octagonal plan has imposing structure. It has raised platform  on which granite pillars and ceilings are built and sloping canopies and turrets on the roof are noteworthy for the stucco workmanship. There are number of small shrines all around the pond (Kalyani) of these Hanuman  Shiva shrines are prominent ones.,Minor shrines around the pond a built in dravida style. ,Nil ,Nil ,Nil ,Mandya Gazetter,Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mandya/Pdfs/Kalyani Bhuvaneshwarimantapa and the ancillary shrines.pdf,images/Mandya/Kalyani Bhuvaneshwarimantapa and the ancillary shrines.jpg,images/temple_.png
9,Kashi Vishweshwara Temple ,Budnur ,Mandya ,Mandya ,North-East end of the village ,12.550884,76.948604,Non living,B,East,Shiva ,13th Century ,AD,Hoysala ,Hoysala Vesara,Cist,Temple of Kashi Vishweshwara Temple is a stellate planned structure. It is an ekakuta temple and has vesara vimana. It has a garbhagriha  sukanasi  navaranga and mukhamantapa  which is completely missing today. However the whole temple is in ruins  presently it is being restored to its original form. The walls and interiors are less ornamented but contains usual architectural features. The main doorway has usual shaiva dwarapalas on either sides. Inside the navaranga  there are five niches once had different Gods like Ganesha  Saptamatrika  Surya  Kumara Vishnu. Now kept outside.,Anantapadmanabha temple  is situated nearby is an ekakuta Dravida structure. Simple in style and decoration  contains the cult image of the Vishnu as Ananthapadmanabha. ,Nil ,1276 AD records grants to the temple,Nil ,"MAR 1910 p. 23 
MAR 1934  p. 49-50 ",Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mandya/Pdfs/Kashi Vishweshwara Temple.pdf,images/Mandya/Kashi Vishweshwara Temple.jpg,images/temple_.png
10,Kodandaramaswamy Temple ,Haravu,Pandavapura,Mandya ,Temple North East end of the village ,12.460461,76.63058,Living temple ,B,East,Rama,14th century,AD,Vijayanagar ,Vijayanagar – Dravida ,Stone (Sand stone) ,The temple is a large structure  built in Prakara. It is built on rectangular plan  and has a girbhagriha  sukhanasi a Navaranga and large open mukhamantapa  in front which is a pillared hall built at a later period. The temple outer walls are plain and only the kosthas are found. The vimana is also dilapidated and the Prakara wall too. The temple has cult image of Rama Lakshmana and Sita in sthanaka posture. ,A subsidiary shrine near by the temple is actually an open all attached to the front pillared hall. This portion may be identified as yagnashala. ,Nil,1369 A.D. records construction of temple,Nil,-,Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mandya/Pdfs/Kodandaramaswamy Temple.pdf,images/Mandya/Kodandaramaswamy Temple.jpg,images/temple_.png
