SL_no,Name,Place,Taluk,District,Location,Latitude,Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynasty,Style,Material,Description,Sub_Monuments,"Paintings
",Inscriptions,SculptorArtist,Published_By,Importance,Protected_by,PDFLink,ImageURL,iconUrl
1,Adinatha Basadi,Chikkar Hanasoge,Krishnarajanagara,Mysore,K.R.Nagar  39 kms from Mysore,12.527482,76.178377,Non-Living Temple,A,East,Adinatha,A.D,AD,Nil,Chalukyan/Dravida,Nil,The Adinatha Basadi is a fine triple shrined temple in the Chalukyan style. In this temple  instead of the usual sukhanasi  each shrine has a 4-pillared navaranga opening into the front hall. The main cell has a 5' high seated figure of adinatha on a pedestal with a prabhavali. It is flanked by male Chauri-bearers  all of which are carved on one panel. The south cell contains a figure of Santinatha  while the north cell bears a 3' high figure of Chandranatha. The elegantly carved doorways of the north shrine are the finest in the temple The lintels on all the doorways are inscribed in Kannada script. Although the temple is in ruins  the images have not suffered mutilations.,Nil,Nil,Kannada characters on lintel doorways ,Nil,Mar 1913 page 18,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Adinatha Basadi.pdf,images/Mysore/Adinatha Basadi.pdf,images/JainTemple.png
2,Agasteshwara Temple,Tirumakudalu,T.Narasipura,Mysore,Nil,NA,NA,1,,NA,Shiva Linga,AD,AD,Nil,Vesara,Nil ,"The Agastyeshvara temple is a large sturcture with a lofty torana on either side of which stands 2 lamp pillars. The Agastyeshvara is a ""Saikata-linga"" or linga formed of sand with a cavity on it containing water believed to represent the ganges. Infact when the cavity is filled  excess water flows through an aperture below called the ""Nabhi"" or navel of the linga. Sage Agasthya is believed to have fashioned the linga and worshipped it. The navaranga contains figures of Kartikeya  Ganesha and Surya. The 2' high figure of Ashvatthanarayana is within the prakara. The 4' high temple goddess  Purnamangaia-Kamakshi like the processional image of Manonmani  is a fine figure. The Someshvara and Markandyeshvara linga along with the Hanumantheshvara and Gargyeshvara linga form the ""Pancha-lingas"" of Tirumakudalu.",Nil,Nil,In garbagriha  and on pedestal of Manonmani image,Nil,Mar 1912 page 15,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Agasteshwara Temple.pdf,images/Mysore/Agasteshwara Temple.jpg,images/temple_.png
3,Amrutheshvara Temple,Mirle ,Krishnaraya Nagar,Mysore,In the Village,12.538827,76.327498,Living Temple,C,East ,Shiva,13th century,AD,Nil,Dravida,Stone,The temple is square in plan and was transplanted from Near by village as it was about to submerge into the back waters of the river Cauveri. The temple is quite small. It has girbhagriha sukhanasi and small hall. The walls of the temple are quite simple  decorated with the pilasters and niches.,Nil,Nil,Nil,Nil,Nil,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Amrutheshvara Temple.pdf,images/Mysore/Amrutheshvara Temple.jpg,images/temple_.png
4,Arkeshwara Temple,Yedatore,Krishnarajanagar,Mysore,K.R.Nagar  39kms from Mysore,NA,NA,Living temple,A,East,Arkeswara (Sun God),AD,AD,Kulottunga Chola I,Vesara,Nil,The Ankakkarisvara temple  built by Ankakkaran  is in fact the Arkesvara temple This large structure with a lofty lamp-post  gopura and a fine mantapa  is a small low -roofed temple bereft of a circumambulatory path The western shrines in the enclosure house the lingas The lings is of natural stone while the Sadasiva image is a metallic one. The 3' high processional image like the 3%' high image of goddess Meenakshi is a fine figure. Inside the shrine is a metallic Srichakra carved with a Kurma  diggajas  etc. The last shrine of the devi  in the prakara has a 2' high-seated figure of Suryanarayana with a large nimbus at the back Before the navaranga stands a mukhamantapa of 9 ankanas. The lofty mahadvara is adorned with Gajalakshmi on the lintel. The 18th C. wooden ratha of the temple is exquisitely carved.,There are 2 shrines dedicated to Vishnu called Kalimadava and Chandikesvara The bathing ghat to the north of the Arkesvara temple  in the shape of a paved platform extending to the river  is a fine structure. The ghat with a mantapa and an entrance has verandahs on either side,Nil,No. 64 of Yedatore  in Tamil and Grantha character,Nil,"Mar 1913  pages 18
Mar 1936 pages 3 & 4",Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Arkeshwara Temple.pdf,images/Mysore/Arkeshwara Temple.jpg,images/temple_.png
5,Chamundeswari Temple,Chamundi Hill,Mysore,Mysore,Summit 13 kms east from Mysore,12.271738,76.66999,Living Temple,A,East,Chamundeswari,1659 A.D,AD,Dodda Devarajaodeyar,Vesara,Nil ,The Chamundesvari temple  overlooking Mysore from 1062 mts summit of the Chamundi Hill  is dedicated to Chamundesvari  the tutelary deity of the Wodeyars. This temple  with large silver gates and golden idols  is a fine quadrangular structure. It is dominated by a towering 7 -storey 40 mts high 'Gopuram' and a Mahadvara built by the late Krishnaraja III in 18th Century. He also presented the golden jewel  'Nakshatramalika' inscribed with 30 Sanskrit verses. The Chamundi Hill derives its name from the goddess Kali or Chamundi The huge statue of Mahishasura along with shrines dedicated to Siva and Vishnu contribute to the aesthetic appeal making it a chief tourist attraction. To the south of Chamundeshwari temple  is the Mahabaleshwara temple  with a prakara  mahadvara and brass-plated doorways. The temple  attributed to Vishnuvardhana Hoysala  is dedicated to Shiva.,Nil,Nil,Mysore 16 1127 oldest record discovered on hill,Nil,"Mar 1912 page 20 
Lonely Planet South India  II Edition  Australia  Lonely Planet Publications Pvt.Ltd",Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Chamundeswari Temple.pdf,images/Mysore/Chamundeswari Temple.jpg,images/temple_.png
6,Gomateshwara Image,Gomatagiri,Hunsur,Mysore,On Gomatagiri Hill  16 miles from Mysore ,12.370208,76.48745,Living Temple,A,East,Bahubali,Circa 14th century A.D,AD,Nil,Jaina,Granite and porphyry,The Gomata image  about 16' in height  stands on a picturesque granite outcrop. It resembles the Gomata image at Sravanabelagola. The image is remarkable for its workmanship. Despite the removal of the brick canopy over the head of the image  the statue  awing to the generous interest evinced by the Jains  is in a good state of preservation.,Nil,Nil,Nil,Nil,Mar 1947-56 page 40,Religious,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Gomateshwara Image.pdf,images/Mysore/Gomateshwara Image.jpg,images/temple_.png
7,Gunjanarasimhaswamy Temple,T.Narasipura,T.Narasipura,Mysore,Nil,12.217582,76.912877,Living temple,A,East,Gunjanarasimha,AD,AD,Vijayanagara,Vesara,Nil,The Gunjanarasimha temple is a large structure with a fine gopura and a 4-pillared mantapa in front. Near the bali-peetha are 2 richly ornamented figures on opposite pillars representing the Mugur Chief and his brother There is a similar figure near the mahadwara representing another Mugur chief accredited for building the gopura. The prakara contains several small shrines dedicated to Rama  Krishna  Varadaraja  Andal  etc. The top parapet contains fine mortar figures of the murtis and the dashavatara of Vishnu. Nine forms of Narasimha are depicted on the south and west parapets. The main image Gunjanarasimha bears in his right hand a berry with its stalk of the Gunja plant  supposedly indicating the superiority of T. Narasipur to Kasi.,To the left of the Gunjanarasimha temple is a small shrine containing a well-carved image of Janardhana. The Prahalada mantapa  built in 1855  is a small building situated to the west of the Janardhana shrine.,Nil,Krishnaraja’s is the earliest inscription ,Nil,"Mar 1912  pages 14 & 15
Mar 1938 page 32",Religious,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Gunjanarasimhaswamy Temple.pdf,images/Mysore/Gunjanarasimhaswamy Temple.jpg,images/temple_.png
8,Hanumanteshvara Temple,Bannur,T. Narasipura,Mysore,In the town,12.335945,76.866592,Living Temple,B,East ,Shiva,12th century A.D,AD,Ganga-Chola and Vijayanagara,Dravida,Stone,Bannuru in T.Narasipura Taluk was an ancient agrahara  known as Jnanchaturverimangala. Among the main temples here  Hanumanteshwara Temple seems to be quite older than the others as the pillars of its Navaranga are in cylindrical style with cushion capitals. The girbhagriha has a big linga  said to be established by Hanuman. The temple has a large prakara  obviously build during Vijayanagara period. The Chola king Rajaraja I  gave a few grants to the temple.,Parvati Shrine build during Vijayanagar period is near by the Hanumanteshwara  Janamejeya Temple both are Ekakutas and small in size,Nil,1162 A.D records the grants for oil lamp to the temple,Nil,Mysore  gazatter  p.837,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Hanumanteshvara Temple.pdf,images/Mysore/Hanumanteshvara Temple.jpg,images/temple_.png
9,Keshava Temple,Dharmapura,Hunsur,Mysore,Dharmapura  9 miles to the south-east of Hunsur,12.238296,76.379478,Non-Living Temple,B,East ,Keshava,1100 A.D,AD,Nil,Chalukyan,Nil,The Chennakeshava temple consists of a garbhagriha  a sukhanasi  a navaranga and a porch and is entered by a flight of steps. The outer walls of the temple  raised on a basement of 4 cornices  are plain. They are relieved by a turret bearing shallow niches  columns and pilasters. The turrets on the outer walls are surmounted by Kalasa (finals). Both the sanctum and the navaranga are square with flattened sides and indentations. The well-carved navaranga doorway is flanked by dvarapalas. The 4 central pillars are all 16 fluted and have 8-sided mouldings. The garbhagriha doorway has Gajalakshmi on the lintel. Inside the sanctum is the 7' high image of Chennakesava in sambhanga on pedestal with garuda carved in front and a stone prabhavali. The prabhavali has the ten incarnations of Vishnu in scrolls.,Nil,Nil,Hunsur 137  1162  grant by Dandanayaka Bittiyanna,Nil,"Mar 1943  pages 26-28
Mar 1913  Page 19 & 20",Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Keshava Temple.pdf,images/Mysore/Keshava Temple.jpg,images/temple_.png
10,Lakshmikantha Temple,Hedatale,Nanjanagud,Mysore,Nil,12.054408,76.736562,Non-Living Temple,A,East ,Nambinarayana,A.D,A.D,Hoysala,Hoysala / Vesara,Granite ,The Lakshmikantha temple is a trikutachala comprising a navaranga  a porch and a mukhamantapa. The main cell  with a sukhanasi and a stone tower  enshrines Lord Lakshmikantha in the form of Nambinarayana. The north cell contains an image of Lakshminarasimha  while the south cell bears Venugopala. The navaranga pillars are well molded and the 3' deep central ceiling is beautifully carved with a long pendant lotus bud. The porch has a large flat ceiling of 9 lotuses. The front hall  a grand structure supported by 24 elegantly carved pillars  is adorned with 11 ceilings. It has a verandah together with 3 entrances to the east  south and west. The hall  known as Hadinaru mukhada chavadi  has 16 faces or openings.,Nil,Nil,Nanjanagud 92 states temple existed before 1292 A.D,Nil,Mar 1918 pages 25 & 26,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Lakshmikanta Temple.pdf,images/Mysore/Lakshmikanta Temple.jpg,images/temple_.png
