SL_no,Name of Monument,Place,Taluk,District,Location,Latitude, Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynasty,Style,Material,Description,Discription_of_sub_Monuments,"Details_of_Paintings
",Details_of_Inscriptions,SculptorArtist,Published_By,Importance,Protected_by,PDFLink,ImageURL,iconUrl
1,Artifacts 2,Machanur ,Lingsugur,Raichur, In the village,16.262017,76.706675,,,,,,AD,,,Stone,,,Nil.,,Not known,Antiquarian Remains in Hyderabad state Govt. of Hyderabad 1953. p. 55.,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/NoImage.png
2,Avenues 1,Maski,Lingsugur,Raichur,Maski is at a distance of about 25 kmto the south of Lingsugur.,15.957576,76.641202,,,,,1000 B.C. – 200 A.D.,AD/BC,,,Stone,,,Nil.,,Not known,Antiquarian Remains in Hyderabad state govt. of Hyderabad 1953. p. 56.,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/NoImage.png
3,Avenues 2,Maski,Lingsugur,Raichur,Maski is on the Sindhnur-Lingsugur main road at about 25 km to the south of Lingsugur.,15.962875,76.654253,,,,,3000 B.C. to 1000 B.C.,BC,,,Stone,Stone axes pygmy flakes of chert and chalcedony bead of cornelion lapishazuli amethyst crystal onyx ruby and garnet conch shell ornaments or stone beads.   ,,Nil.,,Not known,"a) Annual Report of the Archaeological Department of H.E.H. The Nizam’s Dominions
b) Antiquarian Remains in Hyderabad State Government of Hyderabad 1953 p.56  
      1936-37 p.16.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/NoImage.png
4,Venkateswara temple,Karadkal,Lingasugur,Raichur,Within the town,16.158902,76.508552,,,,Worship,A.D,AD,,,Stone brick and mortar.,,,Nil.,,Not known,"a) Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970.
b) Annual Report of the Archaeological Department of H.E.H. The Nizam’s Dominions Calcutta 1938.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/NoImage.png
5,Fort,Jaladurga,Lingsugur,Raichur,Situated between the two tributaries of Krishna river which form a ditch around it.,16.253554,76.420248,3,C,E,,8th –12th century ,AD,Yadavas of Devagiri Vijayanagara Adilshahi,Jaladurga,Stone brick and mortar.,"An old fortress on a rock situated between the two tributaries of Krishna river which forms a ditch around it. This fort probably built in 12th –13th century and was strengthened in 15th –16th century. Human habituation was very limited and was strictly used for defence purpose.
The fort rises over land and stretches over the hill it consists of five encircling walls and huge square stone blocks along with mortar have been used in its construction. The outermost fort has east orientation with large gate two large gates and a entrance; here the fort stretches from north to south in the form of right angle the gate way does not have any entrance porch in the interior adjacent to this gate is a small entrance to the south. The fort walls are broad on top and its eastern side contains many square bastions.
The organization / makeup of the second fortification is similar to that of the first even here with broad walls on top square bastions and an arched gate way in the east. In the northern corner is a circular bastion. The gateway structure and its surrounding walls seem to be of later period from type of construction and a lot of mortar is used here. Next to the entrance is a platform on which stands a dome roofed arched small hall bay (ankana) in the same vicinity is another small platform with a Hanuman idol. To the north of the gate is Neelammana temple and Eshwara temple and to the south is Basavanna and Gangadhara temples these temples are of recent origin and simple in style.
Opposite to the third fortification are two platforms having two muslim graves. The fortification consists of square bastion to the east gateway in between two bastion. On either side of the entrance is an arched ankana.
The fourth fortification contains square and circular bastions its east facing gateway is ruined.
The fifth and the final fortification has neither door nor doorframe but just has an entrance. On top of this fort wall there are gun ports to the northwest corner is a huge circular bastion.
Inside this fifth fortification area occupies a Rajawade in the south east corner well Sangameshvara temple to the west a circular watch tower to the northeast and huge hazara structure ruined building in the centre.
",,Nil.,From an inscription in the fort it appears that the fort was built by one of the yadava Rajas of Devagiri about the close of the 12th century.,Not known,"a) Kannada Vishaya Vishwa Kosha Mysore University p.685.
b) Antiquarian Remains in Hyderabad State Government of Hyderabad 1953 p.55.
c) Raichur Mattu Koppala Jilleya Kotegalu Ondu Adhyana Sujata Mallana Gouda (Ph.d thesis)
 Kannada University Hampi 2000 pp. 173 179.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
6,Neolithic implements,Bellamrayanguda,Lingsugur,Raichur,About 6.5 km north-west of Lingsugur.,16.167877,76.493328,,,,,3rd and 1st Millennium B.C.,BC,,,Stone,,"Neolithic and grey ware pottery Iron along scoaper of yellow-chert skull of Bull the ""bonkranion"" of the Greeks made of grey eartuern ware.",Nil.,,Not known,"a) Annual Report of Archaeological Department of H.E.H Nizam’s Dominions 1935-36 Calcutta 1938 p.20.
b) Antiquarian Remains in Hyderabad State Government of Hyderabad 1953 p.57.

",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/Fort.png
7,Ramalingeshwara Temple{Pygmy flakes and stone Celts},Anahosur,Lingsugur,Raichur,The Village Anahosur is at a distance of 13 km to the west of Lingsugur.,16.157292,76.403996,,,W,Shiva, A.D,AD,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Stone brick and mortar.,Pygmy flake and stone celts.,,Nil.,,Not known,Annual Report of the Archaeological Department of H.E.H. The Nizam Dominions 1935-36. Calculta 1938. p. 20.,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
8,Mallikarjuna temple,Maski,Lingsugur,Raichur,In the village,15.951401,76.652003,,,,Shiva,AD,AD,,,Stone brick and mortar.,,,Nil.,,Not known,,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
9,Chudi gate temple Hanuman temple,Gabbur,Devadurg,Raichur,In the middle of the village.,16.309147,77.155168,,C,N/S,Hanuman,10-12th Century ,AD,Chalukya of Kalyana,Vesara,Stone brick and mortar.,Chudi gate is situated near Bangar Basappa temple. The outer arch of the gate shows Moslem influence. There are temples on either side of the gateway facing the north and an inscriptional tablet is fixed near the arched entrance. The plan of the temple consists of a garbhagriha sukanasi and a hall. The temple on the left has image of elephants near the entrance and a linga is installed in the cella. The other temple has the image of Vishnu. Facing the chudi gateway is a temple dedicated to Hanuman. It consists of a garbhagriha with pillared hall in the front and a pradakshinapatha (circumambulatory) around. An image of Hanuman is placed in the cella. The cella dooway has carved screens on either side. The treatment of the hair styles of some male figures carved in the hall is interesting.Near the principal mosque of the village is another temple dedicated to Siva. It consists of a garbhagriha sukanasi and a hall. The temple stands on a high plinth. A linga is installed in the cella an image of Ganapathi is placed in the sukanasi and a small Nandi and a linga are placed in the hall.,,Nil.,An inscriptional tablet is fixed in the temple.,Not known,a)      Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970.b)      Annual Report of the Archaeological Department of H.E.H. The Nizam’s Dominions Calcutta 1938.,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
10,Eshwara temple (Venkateshwara complex),Gabbur,Devadurg,Raichur,To the outer side of village ,16.30647,77.155464,,C,East,Shiva,10-12th Century A.D,AD,Chalukya of Kalyana,Vesara,Stone brick and mortar.,,,Nil.,,Not known,a)      Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970.b)      Annual Report of the Archaeological Department of H.E.H. The Nizam’s Dominions Calcutta 1938.,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
11,Eshwara temple ,Gabbur,Devadurg,Raichur,To the west of village near ,16.30805,77.15538,,C,E,Shiva,10-12th Century A.D,AD,Chalukya of Kalyana,Chalukyas of Kalyana,Stone brick and mortar.,"On coming out from the western gate of the village which is known as Mosurkul gate one will see a temple dedicated to Siva. The sukanasi of this temple has beautiful perforated screens and also a pair of dwarapalas. There are two figures of elephant which are mutilated.
In the close vicinity of the temple is a well and along the flight of steps a black stone tablet is fixed which bears an inscription.
",,Nil.,An inscriptional tablet may also be seen in the prakara of this temple in the south-east portion.,Not known,"a) Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970.
b) Annual Report of the Archaeological Department of H.E.H. The Nizam’s Dominions Calcutta 1938.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
