SL_no,Name,Place,Taluk,District,Latitude,Longitude,Period,Style,Material,Description,Published_By,Protected_by,PDFLink,ImageURL,iconUrl
1,Jaina Basadi,Chikka Magadi,Shikaripura,Shivamogga,14.501163,75.258773,1181 A.D,,"Stone, brick and mortar","The old Santinatha Basti is now used as a Basavanna temple. 
It consists of a garbhagriha, a closed vestibule, and a navaranga.  There are projections on either side of the flight of steps leading up to the navaranga doorway on which perhaps there were figures of elephants originally. The garbhagriha and navaranga are square and are indented. The basement consists of three cornices of which the third from the bottom has dentil mouldings. The outer walls are plain and have a middle cornice ornamented with rhomboid flowers. The eaves are sharp and relieved by kirtimukhas at intervals. The tower is a stepped pyramid consisting of seven tiers of cornice mouldings decorated with dentil designs. Its front has sukanasi with simhalalata decoration enclosing a figure of Jina.
The navaranga doorway is plain. The four central pillars have each two large cubicle mouldings between which appear circular and 16-sided mouldings. On the faces of the base of each pillar are carved relief figures of kalasas. The navaranga ceilings have exquisite padmas resembling jewellery work. Inside the garbhagriha is a bull on a pitha.","MAR 1941, pp. 94-95.
EC VII, Shikaripura 196-202.
Mysore Gazetteer, Vol V, 
ed. C.Hayavadan Rao; Bangalore 1930. p. 1291.","Department of Archaeology, Museums and Heritage, Mysuru",images/Shivamogga/Pdfs/Jaina Basadi.pdf,images/Shivamogga/Jaina Basadi.jpg,images/JainTemple.png
2,Kapileshwara Temple,Davanibailu,Tirthahalli,Shivamogga,13.7692,75.2168,,,,,,,images/Shivamogga/Pdfs/Kapileshwara Temple.pdf,images/Shivamogga/Kapileshwara Temple.jpg,images/temple_.png
3,Shantinatha Jain Basadi,Narasapura,Shikaripura,Shivamogga,14.484398,75.265835,,,,,,"Department of Archaeology, Museums and Heritage, Mysuru",images/Shivamogga/Pdfs/Shantinatha Jain Basadi.pdf,images/Shivamogga/Shantinatha Jain Basadi.jpg,images/JainTemple.png
4,Shivappanayaka Palace,Shivamogga City,Shimoga,Shivamogga,13.927352,75.583742,Early 17th century A.D,Keladi Nayak,"Stone, brick, mortar and wood","This stately monument is raised on a 0.75-m high plinth with well-cut and dressed stone slab casing. It consists of a spacious pillared hall with open pillared façade and two rooms at hind corners. Right over the rooms are similar rooms and between them is a balcony with an open pillared façade. Between the pillars are engrailed arches. The balcony is approached by a staircase from the ground floor symmetrically placed beside the rooms. The façade is completely open with four tall wooden pillars and two corner pilasters infusing a majestic appearance to the monument. Within the hall are three rows of pillars. The third and the fourth rows support the balcony. Between the pillars of the second row on the floor are 8 small rectangular stone slabs conventionally looking like tortoise. 
The balcony is an oblong hall with two rows of eight pillars each, similar to those beneath the balcony. Between the pillars of the façade and at the edge of projected part of the balcony runs a railing 0.60 m high. The palace has gabled roof measuring 30 m (N-E) by 15 m (S-E) and 9.75 m high at the central ridge. It is now covered with earthen tiles.","The Keladi Nayaka Architecture and Art, Vol V, 
Part 2, A.Sundara; Directorate of Archaeology and Museums in Karnataka, 1987.pp. 16, 19.","Department of Archaeology, Museums and Heritage, Mysuru",images/Shivamogga/Pdfs/Shivappanayaka Palace.pdf,images/Shivamogga/Shivappanayaka Palace.jpg,images/temple_.png
5,Shivappanayaka Tomb,Bidanur,Hosanagara,Shivamogga,13.8322,75.0192,,,,,,"Department of Archaeology, Museums and Heritage, Mysuru",images/Shivamogga/Pdfs/Shivappanayaka Tomb.pdf,images/Shivamogga/Shivappanayaka Tomb.jpg,images/temple_.png
6,Sri Bheemeshwara Temple,Kuskur,Kuskur,Shivamogga,13.8539,75.561,,,,,,,images/Shivamogga/Pdfs/Sri Bheemeshwara Temple.pdf,images/Shivamogga/Sri Bheemeshwara Temple.jpg,images/temple_.png
7,Sri Bheemeshwaraswamy temple (Kote Parvati Bhimeshwara),Shivamogga City,Shimoga,Shivamogga,13.927008,75.582737,Modern A.D,Dravidian (modern),"Stone, brick and cement concrete","The Bhimesvara temple is a plain modern construction with tile-roof. The temple is just an oblong hall (17x10.5 m) looking northeast. In the centre of the rear part of the hall is a squarish garbhagriha, (4.5x3.5 m) leaving a closed pradakshinapatha all round. In the garbhagriha is a linga on a pitha of noteworthy workmanship, probably of C. 12th century A.D. At the entrance are Saiva dvarapalas flanking the door. These sculptures appear to be of C. 17th century A.D. Beside the dvarapalas are niches in the wall enshrining the images of Ganesa and Parvati to the right and left respectively. These are of recent period. The present temple might have been raised by way of renovation on the remains of an ancient brick temple there.",,"Department of Archaeology, Museums and Heritage, Mysuru",images/Shivamogga/Pdfs/Sri Bheemeshwaraswamy temple (Kote Parvati Bhimeshwara).pdf,images/Shivamogga/Sri Bheemeshwaraswamy temple (Kote Parvati Bhimeshwara).jpg,images/temple_.png
8,Sri Kote Anjaneyaswamy temple,Shivamogga City,Shimoga,Shivamogga,13.927928,75.58264,17th century A.D,Late Vijayanagara and Keladi,"Chlorite schist, brick and mortar","It consists of a garbhagriha and a pillared mantapa. The garbhagriha looks oblong from outside as in recent years it has been enclosed creating a small room between the garbhagriha wall and the newly extended walls. In the centre of the garbhagriha is the icon of Anjaneya. The only thing archaeologically important about the temple is that the navaranga and garbhagriha doorway and the four-navaranga pillars are all beautiful Hoysala pieces. These appear to have been brought from some old Jaina temple. The navaranga doorway, the finest of all, has five standing figures at the bottom of each jamb. Above them there are two creeper scrolls, one with animals having varied faces and the other with Yaksha musicians and dancers in convolutions. The central panel of the lintel has a beautiful, though mutilated, Jaina image seated in yogasana under mukkode and supported by a male attender on each side. There is a projecting cornice above on the front in the centre of which also is a seated Jaina image. Right above the garbhagriha is a Keladi style superstructure of brick and lime mortar. On the dome at cardinal points are simhamukhas.","MAR 1945, p. 38.","Department of Archaeology, Museums and Heritage, Mysuru",images/Shivamogga/Pdfs/Sri Kote Anjaneyaswamy temple.pdf,images/Shivamogga/Sri Kote Anjaneyaswamy temple.jpg,images/temple_.png
9,Sri Lakshminarasimha temple,Bhadravathi Town,Bhadravati,Shivamogga,13.848518,75.700402,Middle of 13th century A.D,Hoysala,"Soapstone, brick and mortar","This is a trikutachala with a set of three garbhagrihas with associated sukanasis opening into a common navaranga. On the east is a mukhamantapa. The temple is raised on a platform supported by elephants at the important corners corresponding to the contour of the temple whose three cellas are star- shaped. 
The basement has 6 deeply cut simple cornices. Externally the wall is divided into a upper and lower halves by an eave-shaped cornice. Above it, supported on pilasters, is a row of simple turrets. Below the cornice, are rows of sculptures (mostly unfinished).
Each of the three cells has a star-shaped tower with a projection over the sukanasi. The porch has two round Hoysala pillars on its side jagatis and its rounded parapet railing is plain. Its ceiling has a moderately deep lotus, carved upon a single slab.
The navaranga has nine squares with four central pillars of the usual, round Hoysala type. On its west wall are two niches housing Ganesa and Sarasvati. The ceilings have finely designed small domes scooped out of single slabs. The sukanasi doorways have perforated screens. Above the lintel of the sukanasi doorway of the central cell is a Lakshminarasimha group. 
Inside is a fine-seated Lakshmi-Narasimha. The south cell has Venugopala and the north Vishnu as Purushottama.","MAR, 1931, pp. 3-6; 168-169.
ARE 1971, B-197-99.
EC, VII, Sh. 30.","Department of Archaeology, Museums and Heritage, Mysuru",images/Shivamogga/Pdfs/Sri Lakshminarasimha temple.pdf,images/Shivamogga/Sri Lakshminarasimha temple.jpg,images/temple_.png
10,Sri Rameshwara temple,Chittur,Soraba,Shivamogga,14.311648,75.246147,C. 12th Century A.D,Hoysala,Stone,"The temple consists of a garbhagriha, an antarala, a large navaranga, and a mukhamantapa consisting of (kakshasanas) with two short pillars on a rising from them to support the roof.
There is a linga in the garbhagriha and a small Nandi in the navarnga. On either side of the sukanasa doorway there are two devakoshtas, with Ganapati in the right and Durga in the left. Similar pairs of devakoshtas housing. Bhairava, saptamatrika Vishnu etc. are seen on the eastern, southern and northern walls. The navaranga pillars are square with a 16 sided mid-band. The navaranga and garbhagriha doorframes have panchasakahas. 
The superstructure above the garbhagriha is interesting. It follows the Nagara principle of bhadra projections raising straight up to the top, but is in a stepped pyramidal form with reducing dimension of subsequent talas. The sukanasa projection of the superstructure carries the Hoysala emblem of Sala killing the lion.",Epigraphia Carnataka Vo. VII Sorab 507-517.,"Department of Archaeology, Museums and Heritage, Mysuru",images/Shivamogga/Pdfs/Sri Rameshwara temple.pdf,images/Shivamogga/Sri Rameshwara temple.jpg,images/temple_.png
