SL_no,Name,Place,Taluk,District,Latitude,Longitude,Period,Style,Material,Description,Discription_of_sub_Monuments,Published_By,Protected_by,PDFLink,ImageURL,iconUrl
1,Ancient fort and Moat,Sira,Sira,Tumakuru,13.7435,76.9143,,Hoysala,"Stone, brick and mortar.",,,,"Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Ancient fort and Moat.pdf,images/Tumakuru/Ancient fort and Moat.jpg,images/Fort.png
2,Jumma Masjid,Sira,Sira,Tumakuru,13.727142,76.89773,,,,,,,"Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Jumma Masjid.pdf,images/Tumakuru/Jumma Masjid.jpg,images/Mosque.png
3,Malik Raihan Darga,Sira,Sira,Tumakuru,13.734958,76.908355,,,,,,,"Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Malik Raihan Darga.pdf,images/Tumakuru/Malik Raihan Darga.jpg,images/Mosque.png
4,Nandi in front of Sri Gangadhareshwara Temple,Turuvekere,Turuvekere,Tumakuru,13.167345,76.663692,Early 18th centuries A.D,Dravidian ,Blackstone,"In a fine mantapa in the patalankana (or front hall on a lower level than the central hall) of the Gangadhareshvara temple is a beautifully carved Nandi about 2 m long, 1.5 m broad, and 2 m high. This is of hard black stone and though several centuries old, still retains a brilliant polish. This reminds us of the bull on the Chamundi Hill, which is larger than this.",,"MAR, 1934, p.29. Mysore Gazetteer, Vol V, ed. C.Hayavadana Rao, p.557.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Nandi in front of Sri Gangadhareshwara Temple.pdf,images/Tumakuru/Nandi in front of Sri Gangadhareshwara Temple.jpg,images/temple_.png
5,ShanthinathaBasadi,Kandigere,Chikknayakanahalli,Tumakuru,13.5266,76.6198,,Hoysala,"Stone, brick and mortar.",,,,"Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/ShanthinathaBasadi.pdf,images/Tumakuru/ShanthinathaBasadi.jpg,images/JainTemple_.png
6,Sri Balalingesvara Temple (Kallesvara Temple),Vighnasanthe,Tiptur,Tumakuru,13.14832,76.540503,13th century A.D,Hoysala,"Soapstone, brick and mortar.","The Balalingesvara is a three-celled temple. It is a plain building with a stone tower. The tower is of stepped pyramidal design with seven cornices. On each face of the sikhara is a kirtimukha with a standing Saiva deity. Over the projection on the sukanasi is a well-carved figure of Sala killing the lion. Here the hero's head is shown bent back in an effort to pull the lion’s tongue out and thrust the sword in.
The inner view shows that the temple must have originally consisted of a garbhagriha with a small linga, a vestibule with a shallow lotus ceiling, and a navaranga of nine squares borne on four cylindrical pillars, with extra cells on the north and south. In the north cell are kept images of Ganesha, Virabhadra, Kesava and Nagas.
Perhaps in the late Hoysala or early Vijayanagara period the front hall of soapstone with cubical pillars having octagonal shafts and ornamental necks appear to have been added. The navaranga, thus extended, came to have ten pillars. This hall has a doorway to the east and another to the south.",,,"Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Balalingesvara Temple (Kallesvara Temple).pdf,images/Tumakuru/Sri Balalingesvara Temple (Kallesvara Temple).jpg,images/temple_.png
7,Sri Byatarayaswamy temple,Kolala,Koratagere,Tumakuru,13.353843,77.306077,10th century A.D,Dravidan,"Stone, brick and mortar.","The temple consists of a garbhagriha and a hall. A dvajastambha is placed in front of the temple. A big boulder on the back wall of garbhagriha is worshipped as god. The walls are plain, without any decoration inside or outside. These and the roof are built of stone slabs and the superstructure i.e. sikhara is of brick and mortar. This temple seems to have some characteristics of the Ganga period. So it can be dated to c. 10th century A.D. ",,,"Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Byatarayaswamy temple.pdf,images/Tumakuru/Sri Byatarayaswamy temple.jpg,images/temple_.png
8,Sri Channakeshava Temple,Thandaga,Turuvekere,Tumakuru,13.12381,76.596985,c. 14th centuries A.D,Hoysala,"Stone, brick and mortar.","The Chennakesava temple here, built in about the 14th century, is a fine specimen of Hoysala style consisting of a garbhagriha and a sukanasi of about same dimensions (about 2.1 x 1.8 m) a navaranga (4.5 x 4 m) and a porch (about 1.5 m square). All the doorways are well carved. The lintel of the garbhagriha doorway has a figure of Garuda and the jambs have a dvarapalaka and a female figure each, the latter holding a fruit in one hand and a chauri in the other. The original figure of Kesava is mutilated and kept outside; and a new image is set up in its place. In the sukanasi are kept two figures of Alvars. The sukanasi doorway has Gajalakshmi on its lintel and on the sides are ornamental screens and two niches enshrining Ganapati and Lakshmi. The navaranga has five - domed ceilings, about 60 cm deep, with lotus buds. The garbhagriha and the sukanasi too have similar ceilings, but that of the porch is the largest and the best. On the floor of the porch lies a prostrating figure of the chieftain who got the temple constructed and is about 1.2 m long in relief. The outer walls of the navaranga are plain except for the pilasters and turrets but those of the garbhagriha and the sukanasi have figures between pilasters surmounted by turrets. The stone tower over the sanctum has rows of figures from bottom to the top in the four directions with carvings at the sides. ",,"EC XII, Tp. 33-34.
MAR, 1939, p. 60-61
Mysore Gazetteer, Vol V, ed. C.Hayavadana Rao, Bangalore, 1930, pp. 554-55.
Mysore Gazetteer, Tumkur District, ed. K.Abhishankar, Bangalore, 1969, p. 600.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Channakeshava Temple.pdf,images/Tumakuru/Sri Channakeshava Temple.jpg,images/temple_.png
9,Chennigaraya temple (Chennakesava Temple),Kaidala,Tumkur,Tumakuru,13.300272,77.081648,1150 A.D,Hoysala and Vijayanagara,"Stone, brick and mortar.","There are more than 20 viragals set up in a group. There are large, rough and heavy granite slabs of irregular shape; some of them measure more than 3 m high. 
Many of these viragals have a single panel covering almost the whole surface of the slab; some of them however, contain two or three panels all carved in low relief. The warriors are shown as engaged in fierce combat holding shields in their left hands and uplifted swords in the right. They are all tall and well-built, and their hair done up above the head in a knot. Their dress consists of a simple viragachche. Many have a necklace and often a dagger tucked to the waist. Some of the warriors are armed with bow and arrows. In two or three of them, they are seen fighting from horse or elephant-back. Where there are three panels, the bottom panel depicts the battle scene, the middle panel shows the hero being carried off by a pair of apsaras, and in the top panel the hero is shown seated on a cushion seat in the virasvarga, attended on either side by celestial chamara-bearing, damsels.
The inscriptions are usually found on the top of the single-panelled stones and on the bands in between the two panels or at the sides where there are two or more panels.",,"MAR 1918, p. 2; 1927 p. 5. EC XII, Tumkur 9.
Mysore Gazetteer, Vol V, ed. C.Hayavadana Rao; Bangalore, 1930, pp. 494-95.
Mysore State Gazetteer, Tumkur District, p 585","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Chennigaraya temple (Chennakesava Temple).pdf,images/Tumakuru/Chennigaraya temple (Chennakesava Temple).jpg,images/temple_.png
10,Channigaraya temple (Chennakesava temple),Turuvekere,Turuvekere,Tumakuru,13.167468,76.661952,c. 13th centuries A.D,Hoysala,"Stone, brick and mortar.","Built by Sovanna-dannayaka, a general of Narasimha III, the Chennakesava temple is similar in design and execution to the Mule-Sankaresvara temple, in the same place. 
It consists of a garbhagriha, a sukanasi or vestibule, a navaranga or central hall, and a small porch with verandah at the sides. Of the nine ceilings in the navaranga, 8 are about 1-½ feet deep, with lotus buds; one in front of the sukanasi entrance is flat, with 9 blown lotuses. The garbhagriha, sukanasi and the porch also have deep ceilings with lotus buds. The sukanasi entrance has plain perforated screens at the sides. Chennakesava, a fine figure about 1.7 m high, is flanked by consorts. The prabhavali has the ten incarnations of Vishnu sculptured on it. The outer walls of the temple have pilasters alternating with miniature turrets and the garbhagriha is surmounted by a good stone-tower with plain blocks.",,"MAR , 1934, p.27.
EC, XII, Tp. 2-6.
Mysore State Gazetteer, Tumkur District,
ed. K.Abhishankar, Bangalore, 1969, p.50.
Mysore Gazetteer, Vol V, 
ed. C.Hayavadana Rao, Bangalore, 1930, p.554.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Channigaraya temple (Chennakesava temple).pdf,images/Tumakuru/Channigaraya temple (Chennakesava temple).jpg,images/temple_.png
