SL_no,Name,Place,Taluk,District,Latitude,Longitude,Period,Style,Material,Description,Published_By,Protected_by,PDFLink,ImageURL,iconUrl
1,Brahmajataka Temple,,Siddapura,Uttara Kannada,14.5665,74.3875,,,,"Brahmmajataka Temple is in Hiregutti village, Siddapura Taluk of Uttara Kannada District. Latitude and Longitude of  the temple are mentioned above",,"Department of Archaeology, Museums and Heritage, Mysuru",images/Uttara Kannada/Pdfs/Brahmajataka Temple.pdf,images/Uttara Kannada/Brahmajataka Temple.jpg,images/temple_.png
2,Dharnatheshwara Temple,,Kumta,Uttara Kannada,14.3697,74.4098,,,,"Dharanath Temple is in Dhareshwara Village, Kumta Taluk of Uttara Kannada District. In the temple Shiva linga at the center, Ganesha idol on the left and Parvathi idol on the right side. The history of this temple is that Ravana broke the  Shiv Linga in to pieces  and a piece fell on the ground at this place, which became a temple. ",,"Department of Archaeology, Museums and Heritage, Mysuru",images/Uttara Kannada/Pdfs/Dharnatheshwara Temple.pdf,images/Uttara Kannada/Dharnatheshwara Temple.jpg,images/temple_.png
3,Sri Durga Temple,Yallapura,Yallapur,Uttara Kannada,14.9667,74.7085,,,,The temple has dual deities Devamma and Kalamma.,"Govt. of Karnatak; 1985, Uttara Kannada District Gazetteer Govt. Press, Bangalore.","Department  of Archaeology, Museums and Heritage, Mysuru",images/Uttara Kannada/Pdfs/Sri Durga Temple.pdf,images/Uttara Kannada/Sri Durga Temple.jpg,images/temple_.png
4,Fort,Sadashivagad,Karwar,Uttara Kannada,14.8479,74.1328,,,,This fort was built by SondaSadashivaNayaka in 1668. The fort was completed in 1715. The materials of Nandwal fort near Karwar were stated to have been used for the construction of the fort.,"Govt. of Karnatak; 1985, Uttara Kannada District Gazetteer Govt. Press, Bangalore.","Department  of Archaeology, Museums and Heritage, Mysuru",images/Uttara Kannada/Pdfs/Fort.pdf,images/Uttara Kannada/Fort.jpg,images/Fort.png
5,Gangamatha Temple,Gangavalli,Ankola,Uttara Kannada,14.5967,74.3092,,,,"Ganga and Kameshwara Temple is located in the Gangavalli village, Ankola Taluk of Uttara Kannada District. Latitude and Longitude are mentioned above.",,"Department  of Archaeology, Museums and Heritage, Mysuru",images/Uttara Kannada/Pdfs/Gangamatha Temple.pdf,images/Uttara Kannada/Gangamatha Temple.jpg,images/temple_.png
6,Inscription,Kubutur,Sirasi,Uttara Kannada,14.5711,75.1371,,,,"This inscription is in Kubutur village , Sirasi Taluk of Uttara Kannada District. Latitude and Longitude are mentioned above. ",,"Department  of Archaeology, Museums and Heritage, Mysuru",images/Uttara Kannada/Pdfs/Inscription.pdf,images/Uttara Kannada/Inscription.jpg,images/inscriptions.png
7,Inscriptions,Siddapur,Siddapur,Uttara Kannada,14.3404,74.883,,,,This inscription belongs to the perirod of Kadambas of Hanagal. It records the death of Machagouda of Kondli in Juhalige-70. This inscription is dated 1148 A. D.,,"Department  of Archaeology, Museums and Heritage, Mysuru",images/Uttara Kannada/Pdfs/Inscriptions.pdf,images/Uttara Kannada/Inscriptions.jpg,images/inscriptions.png
8,Jain Basadi,Kaikini,Murudeshwara,Uttara Kannada,14.0775,74.5039,,,,"Jain Basadi is located in Murudeshwara, Ankola Taluk of Uttara Kannada District. Latitude and Longitude are mentioned above. ","Govt. of Karnatak; 1985, Uttara Kannada District Gazetteer Govt. Press, Bangalore.","Department  of Archaeology, Museums and Heritage, Mysuru",images/Uttara Kannada/Pdfs/Jain Basadi.pdf,images/Uttara Kannada/Jain Basadi.jpg,images/JainTemple.png
9,Markiamma Temple,Mazali,Honnavara,Uttara Kannada,14.9021,74.102,,Post Vijayanagar,Black Stone,"Markiamma Temple is located in the Mazali village, Karwar Taluk of Uttara Kannada District. Latitude and Longitude of the temple are mentioned above.",,"Department  of Archaeology, Museums and Heritage, Mysuru",images/Uttara Kannada/Pdfs/Markiamma Temple.pdf,images/Uttara Kannada/Markiamma Temple.jpg,images/temple_.png
10,Mahalingeshwara Temple,Hiregutti,Hiregutti,Uttara Kannada,14.5652,74.3874,,,,"Mahalingeshwara Temple is in Hiregutti village, Siddapura Taluk of Uttara Kannada District. Latitude and Longitude of  the temple are mentioned above.","Govt. Of Karnatak; 1985, Uttara Kannada District Gazetteer Govt. Press, Bangalore.","Department  of Archaeology, Museums and Heritage, Mysuru",images/Uttara Kannada/Pdfs/Mahalingeshwara Temple.pdf,images/Uttara Kannada/Mahalingeshwara Temple.jpg,images/temple_.png
