SlNo,Name,Place,Taluk,District,Latitude,Longitude,Description,PDFLink,ImageURL,iconUrl
1,Sri Basaveshwara Temple,Begewadi,Bagewadi,Vijayapura,16.572898,75.975938,"The temple comprises a garbhagraha, antarala and sabhamandapa. In the garbhagraha is a Sivalinga. The doorframe of the garbhagraha is of panchasakha order. The interior of the sabhamandapa has four free standing pillars. The ceiling is decorated with Asta-Dikpalas and Nataraja in the central comportment. The door frame of the sabhamandapa is Panchasakha on its either side are dvarapala sculptures. The temple has three entrances. The exterior of the Kaksasana is decorated with Kalasa. Opposite to the temple is Nandimandapa. The temple has three inscriptions of 11-12 century A. D.",images/Vijayapura/pdfs/Sri Basaveshwara Temple.pdf,images/Vijayapura/Sri Basaveshwara Temple.jpg,images/temple_.png
2,Basavanna Well,Begewadi,Bagewadi,Vijayapura,16.572651,75.976445,Basavanna well is in Bagewadi city of Bagewadi taluk in Vijayapura district.,images/Vijayapura/pdfs/Basavanna Well.pdf,images/Vijayapura/Basavanna Well.jpg,images/Well.png
3,Eshwara Temple,Hebbala,Bagewadi,Vijayapura,16.433493,75.939904,"This temple consists of a garbhagrha, an antarala, a sabhamandapa and a mahamandapa. A Sivalinga is enshrined in the garbhagraha. At the base of the antarala door are chauri bearers. In the sabhamandapa are four free standing pillars. The sabhamandapa has entrances on the north and east. Adjoining the east entrance is a Mahamandapa. It contains six free standing huge pillars and sixteen corresponding pilastars. In the Mahamandapa are Kaksasanas, which have carvings of nagara form and a sikhara on the exterior. The exterior walls of the sabhamandapa have panjara kosthas. The adhistthana of the sabhamandapa has upana, jagati, gala, vedike. The adhisthana of the garbhagraha consists of upan, jagati, tripat takumduda and vedi.",images/Vijayapura/pdfs/Eshwara Temple.pdf,images/Vijayapura/Eshwara Temple.jpg,images/temple_.png
4,Narayanadeva temple,Ingaleshwara,Bagewadi,Vijayapura,16.65235,76.017053,"The temple consists of a garbhagraha, an antarala and an open mukhamandapa. The doorframe of the garbhagraha is tri-shakha. The lalatabimba contains a tity Gajalakshmi bimba. Inside the sabhamandapa are two free standing pillars? On either side of the doorway are Kalasa motifs. The kadamabanagara or phamsana superstructure is damaged. It seems to be a Rashtrakuta temple.",images/Vijayapura/pdfs/Narayanadeva temple.pdf,images/Vijayapura/Narayanadeva temple.jpg,images/temple_.png
5,Siddeshwara Temple,Ingaleshwara,Bagewadi,Vijayapura,16.654246,76.016889,This north-east facing cave temple has a small doorway to enter the hall. A flight of steps leads to the garbhagraha. In the garbhagraha is a sculpture of Revanasiddhesvara. The garbhagraha is 15 feet below the land level.,images/Vijayapura/pdfs/Siddeshwara Temple.pdf,images/Vijayapura/Siddeshwara Temple.jpg,images/temple_.png
6,Sri Rameshwara temple,Ittagi,Bagewadi,Vijayapura,16.379624,76.002355,"This is a trikuta temple. It comprises three garbhagrahas each with an antaralas, a common sabhamandapa and a mukhamandapa. Each garbhgraha enshrined a Sivalinga. On either side of the east facing garbhagrha door is a Saiva dvarapala. In the sabhamandapa are four free standing pillars, and four empty Kosthas. In the mukhamandapa are four free standing pillars, and Kaksasanas.This temple is in good condition.",images/Vijayapura/pdfs/Sri Rameshwara temple.pdf,images/Vijayapura/Sri Rameshwara temple.jpg,images/temple_.png
7,Sri Sangameshwara Temple,Kadakola,Bagewadi,Vijayapura,16.681439,76.173847,Sri Sangameshwara temple  is in Kadakola village  of Bagewadi taluk in Vijayapura district.,images/Vijayapura/pdfs/Sri Sangameshwara Temple.pdf,images/Vijayapura/Sri Sangameshwara Temple.jpg,images/temple_.png
8,Ramalingeshwara temple,Managuli,Bagewadi,Vijayapura,16.652221,75.813556,The temple consists of a garbhagraha and sabha mandapa. In the garbhagraha is a Sivalinga. The doorframe of the garbhagraha has a single shakha. There is a pradaksginapatha around the garbhagraha. The interior of the sabhamandapa has four freestanding pillars. In the centre of the sabhamandapa is seated Nandi. There is no Sikhara over the garbhagraha.,images/Vijayapura/pdfs/Ramalingeshwara temple.pdf,images/Vijayapura/Ramalingeshwara temple.jpg,images/temple_.png
9,Lakshminarasimha temple,Muttagi,Bagewadi,Vijayapura,16.531245,75.887935,"This dvikuta temple comprises two garbhagraha, antarala and a mukhamandapa. The garbhagrahas have trisakha door frames. The lalatabimas of the two garbhagrahas have tiny Gajalakshmi bimba. There is a Kakshasana around the mukhamandapa. There is an inscription connected with this temple dated 1189 A.D. It states that the temple was built by Chowdisetti, grandfather of an officer called  Shankara Swami.",images/Vijayapura/pdfs/Lakshminarasimha temple.pdf,images/Vijayapura/Lakshminarasimha temple.jpg,images/temple_.png
10,MuktheshwaraLakshminarayana and Kashivishwanatha temple,Muttagi,Bagewadi,Vijayapura,16.529094,75.88669,This temple consists of a navaranga an antarala and a garbhagraha. The pillars at the centre of the navaranga are decorated. There are two pillars at the entrance to the antarala. Above these pillars is a makaratorana panel. The garbhagraha enshrined  a linga.,images/Vijayapura/pdfs/MuktheshwaraLakshminarayana and Kashivishwanatha temple.pdf,images/Vijayapura/Muktheshwara Lakshminarayana and Kashivishwanatha temple.jpg,images/temple_.png
